"lsoa11cd","date","lsoa11nm","Rural Urban","Rooms: All categories: Number of rooms; measures: Value","Rooms: 1 room; measures: Value","Rooms: 2 rooms; measures: Value","Rooms: 3 rooms; measures: Value","Rooms: 4 rooms; measures: Value","Rooms: 5 rooms; measures: Value","Rooms: 6 rooms; measures: Value","Rooms: 7 rooms; measures: Value","Rooms: 8 rooms; measures: Value","Rooms: 9 or more rooms; measures: Value"
"E01026867",2011,"Norwich 006E","Total",562,3,8,39,67,206,166,42,24,7
"E01026868",2011,"Norwich 006F","Total",565,0,8,26,95,236,111,40,25,24
"E01026869",2011,"Norwich 006G","Total",657,2,6,109,151,241,115,25,7,1
"E01033434",2011,"Norwich 011G","Total",615,3,135,155,107,65,82,27,22,19
"E01033435",2011,"Norwich 005G","Total",705,2,8,35,212,147,111,106,60,24
"E01033436",2011,"Norwich 005H","Total",596,0,3,90,180,161,98,35,17,12
"E01033437",2011,"Norwich 011H","Total",786,11,41,230,225,174,41,20,15,29
"E01033438",2011,"Norwich 014A","Total",878,19,118,313,151,102,73,41,25,36
"E01033439",2011,"Norwich 014B","Total",763,55,97,159,77,104,158,77,27,9
"E01033440",2011,"Norwich 014C","Total",662,7,87,221,211,69,17,27,15,8
"E01033441",2011,"Norwich 014D","Total",773,24,146,241,184,78,77,16,3,4
