"lsoa11cd","date","lsoa11nm","Rural Urban","Age: All usual residents; measures: Value","Age: Age 0 to 4; measures: Value","Age: Age 5 to 7; measures: Value","Age: Age 8 to 9; measures: Value","Age: Age 10 to 14; measures: Value","Age: Age 15; measures: Value","Age: Age 16 to 17; measures: Value","Age: Age 18 to 19; measures: Value","Age: Age 20 to 24; measures: Value","Age: Age 25 to 29; measures: Value","Age: Age 30 to 44; measures: Value","Age: Age 45 to 59; measures: Value","Age: Age 60 to 64; measures: Value","Age: Age 65 to 74; measures: Value","Age: Age 75 to 84; measures: Value","Age: Age 85 to 89; measures: Value","Age: Age 90 and over; measures: Value","Age: Mean Age; measures: Value","Age: Median Age; measures: Value"
"E01026838",2011,"Norwich 009D","Total",1551,92,54,36,79,12,23,33,275,105,322,281,78,67,58,24,12,35.7,32
"E01026839",2011,"Norwich 009E","Total",1596,67,30,22,51,12,12,63,511,161,358,189,41,39,26,12,2,30.7,25
"E01026840",2011,"Norwich 009F","Total",1611,75,30,26,41,13,15,60,266,225,438,235,75,72,32,4,4,34.3,31
"E01026841",2011,"Norwich 003A","Total",1453,104,35,12,39,5,19,26,169,226,451,198,59,63,32,9,6,34.2,32
"E01026842",2011,"Norwich 003B","Total",1648,112,34,23,44,9,26,36,134,234,503,251,82,87,54,9,10,36.3,33
"E01026843",2011,"Norwich 003C","Total",1905,139,55,34,85,16,45,48,128,179,430,342,119,135,86,34,30,39,37
"E01026844",2011,"Norwich 003D","Total",1741,138,76,44,92,21,31,45,126,198,427,274,76,112,68,11,2,34.8,32
"E01026845",2011,"Norwich 003E","Total",1561,112,37,19,45,9,23,20,161,290,526,191,36,50,28,9,5,32.7,31
"E01026846",2011,"Norwich 003F","Total",1626,116,41,19,43,12,24,39,186,249,482,225,53,75,49,9,4,34,31
"E01026848",2011,"Norwich 015A","Total",1856,130,48,28,77,12,25,46,160,176,399,322,89,149,117,47,31,40.4,38
"E01026849",2011,"Norwich 015B","Total",1738,83,27,16,46,9,18,24,173,232,454,330,105,127,52,29,13,39.5,36
"E01026850",2011,"Norwich 015C","Total",1827,149,43,19,51,7,11,25,162,261,512,304,88,107,65,15,8,36.6,34
"E01026852",2011,"Norwich 011A","Total",1295,62,35,18,61,13,25,20,59,61,233,302,117,107,87,55,40,46,47
"E01026853",2011,"Norwich 011B","Total",1751,103,37,16,44,9,15,26,146,197,398,322,94,144,131,41,28,42.4,39
"E01026855",2011,"Norwich 011D","Total",1568,69,28,13,49,14,19,35,271,174,335,256,96,100,75,24,10,38.3,34
"E01026856",2011,"Norwich 011E","Total",1821,62,35,23,67,4,13,54,465,259,380,254,75,66,39,17,8,33.5,28
"E01026857",2011,"Norwich 011F","Total",1515,38,32,16,78,15,23,55,194,102,276,237,77,158,142,49,23,43.5,41
"E01026858",2011,"Norwich 010A","Total",1512,89,40,16,77,9,27,48,233,104,246,192,68,151,133,58,21,41.2,37
"E01026859",2011,"Norwich 010B","Total",1659,147,88,48,115,25,42,44,206,122,333,222,52,83,98,23,11,33.7,29
"E01026860",2011,"Norwich 010C","Total",4313,44,28,18,35,10,55,1800,1397,229,203,168,75,99,121,22,9,25.8,20
"E01026861",2011,"Norwich 010D","Total",1493,77,40,27,76,20,36,77,325,96,239,214,67,89,70,31,9,35.3,28
"E01026862",2011,"Norwich 010E","Total",1302,58,45,23,82,20,52,70,163,61,202,236,58,110,74,29,19,38.7,37
"E01026863",2011,"Norwich 006A","Total",1814,106,46,21,56,15,18,76,361,163,379,271,83,120,66,24,9,35.8,31
"E01026864",2011,"Norwich 006B","Total",1547,129,68,35,76,13,39,35,94,130,296,310,93,124,78,18,9,38.2,38
"E01026865",2011,"Norwich 006C","Total",1949,186,75,44,125,27,51,47,248,200,441,257,67,84,71,16,10,32.2,29
"E01026866",2011,"Norwich 006D","Total",1574,74,41,19,60,15,25,47,228,178,364,243,77,103,69,19,12,37.1,32
"E01026867",2011,"Norwich 006E","Total",1592,141,86,48,143,20,57,51,157,114,301,256,62,79,64,9,4,32.3,29
"E01026868",2011,"Norwich 006F","Total",1628,174,93,40,107,32,46,58,226,136,316,217,60,81,39,2,1,30,26
"E01026869",2011,"Norwich 006G","Total",1400,132,65,30,79,19,41,28,100,110,297,220,87,123,52,14,3,36,35
"E01033434",2011,"Norwich 011G","Total",1076,49,20,7,20,4,9,19,164,213,290,128,47,56,39,9,2,35.5,31
"E01033435",2011,"Norwich 005G","Total",1845,188,77,46,97,14,35,48,301,239,475,214,39,43,24,4,1,28.6,27
"E01033436",2011,"Norwich 005H","Total",1393,117,46,33,62,16,39,40,177,123,232,195,100,93,76,40,4,36.9,32
"E01033437",2011,"Norwich 011H","Total",1378,57,32,22,51,14,26,37,143,111,294,235,86,128,84,33,25,41.8,39
"E01033438",2011,"Norwich 014A","Total",1397,42,13,8,21,10,12,21,130,157,265,196,79,146,166,75,56,48.7,46
"E01033439",2011,"Norwich 014B","Total",1440,54,19,14,30,7,18,27,192,254,393,222,49,54,45,28,34,37.7,33
"E01033440",2011,"Norwich 014C","Total",1070,45,22,5,26,2,7,28,133,195,335,185,30,37,14,4,2,34.6,31
"E01033441",2011,"Norwich 014D","Total",1229,31,20,13,17,5,8,19,182,309,351,146,43,48,27,7,3,34.5,30
