"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family household; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: Dependent children; measures: Value","Household Composition: One family only: Married or same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: Dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent; measures: Value","Household Composition: One family only: Lone parent: Dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types; measures: Value","Household Composition: Other household types: With dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01026832",2011,"Norwich 002E","Total",498,99,51,48,361,37,161,48,81,32,62,13,48,1,101,67,34,38,16,3,0,19
"E01026833",2011,"Norwich 002F","Total",696,321,95,226,340,30,119,47,55,17,93,42,49,2,98,79,19,35,14,1,4,16
"E01026834",2011,"Norwich 002G","Total",644,206,98,108,394,32,174,68,71,35,91,35,52,4,97,79,18,44,14,2,0,28
"E01026835",2011,"Norwich 009A","Total",643,236,51,185,271,21,117,52,51,14,80,57,21,2,53,48,5,136,9,67,0,60
"E01026836",2011,"Norwich 009B","Total",646,181,40,141,351,30,182,64,91,27,86,52,28,6,53,43,10,114,9,51,0,54
"E01026837",2011,"Norwich 009C","Total",735,338,89,249,317,26,169,72,82,15,86,67,16,3,36,22,14,80,7,23,2,48
"E01026838",2011,"Norwich 009D","Total",645,171,53,118,370,40,202,76,112,14,83,50,32,1,45,29,16,104,2,61,1,40
"E01026839",2011,"Norwich 009E","Total",668,204,31,173,286,15,123,46,65,12,106,78,26,2,42,31,11,178,3,106,0,69
"E01026840",2011,"Norwich 009F","Total",759,233,42,191,382,21,145,79,53,13,150,116,34,0,66,50,16,144,6,51,1,86
"E01026841",2011,"Norwich 003A","Total",726,272,39,233,361,19,153,74,63,16,131,97,33,1,58,40,18,93,13,8,1,71
"E01026842",2011,"Norwich 003B","Total",818,324,61,263,419,30,202,90,85,27,148,111,34,3,39,25,14,75,8,6,1,60
"E01026843",2011,"Norwich 003C","Total",902,338,113,225,496,43,216,110,85,21,124,74,46,4,113,76,37,68,13,4,4,47
"E01026844",2011,"Norwich 003D","Total",823,314,65,249,461,37,187,92,63,32,119,70,48,1,118,92,26,48,17,3,1,27
"E01026845",2011,"Norwich 003E","Total",786,286,36,250,405,20,159,80,70,9,160,119,40,1,66,49,17,95,9,7,0,79
"E01026846",2011,"Norwich 003F","Total",811,320,64,256,378,21,131,59,57,15,156,115,38,3,70,51,19,113,15,8,0,90
"E01026848",2011,"Norwich 015A","Total",1015,512,182,330,426,36,137,64,52,21,114,53,54,7,139,112,27,77,14,1,5,57
"E01026849",2011,"Norwich 015B","Total",913,409,66,343,448,42,206,112,77,17,162,132,27,3,38,23,15,56,7,4,0,45
"E01026850",2011,"Norwich 015C","Total",952,390,80,310,467,37,190,104,73,13,167,117,46,4,73,51,22,95,14,4,1,76
"E01026852",2011,"Norwich 011A","Total",598,228,100,128,340,43,223,104,96,23,42,24,14,4,32,14,18,30,4,4,1,21
"E01026853",2011,"Norwich 011B","Total",1011,534,208,326,393,45,158,83,58,17,109,84,23,2,81,58,23,84,7,6,4,67
"E01026855",2011,"Norwich 011D","Total",773,332,102,230,330,34,170,73,72,25,82,64,15,3,44,27,17,111,3,34,1,73
"E01026856",2011,"Norwich 011E","Total",847,306,59,247,342,17,128,66,49,13,131,95,34,2,66,46,20,199,5,98,0,96
"E01026857",2011,"Norwich 011F","Total",751,327,192,135,325,64,154,69,68,17,69,48,18,3,38,30,8,99,9,43,6,41
"E01026858",2011,"Norwich 010A","Total",745,323,161,162,341,66,122,47,52,23,57,23,33,1,96,64,32,81,6,48,5,22
"E01026859",2011,"Norwich 010B","Total",640,154,76,78,411,46,181,54,102,25,75,26,47,2,109,88,21,75,7,37,4,27
"E01026860",2011,"Norwich 010C","Total",470,152,85,67,247,60,119,49,46,24,33,18,14,1,35,19,16,71,6,44,2,19
"E01026861",2011,"Norwich 010D","Total",549,105,59,46,335,44,147,43,60,44,54,8,43,3,90,65,25,109,11,62,0,36
"E01026862",2011,"Norwich 010E","Total",497,122,86,36,294,46,155,41,82,32,32,9,20,3,61,39,22,81,14,34,0,33
"E01026863",2011,"Norwich 006A","Total",771,215,80,135,414,43,211,100,81,30,94,64,28,2,66,46,20,142,12,61,0,69
"E01026864",2011,"Norwich 006B","Total",657,169,75,94,440,55,223,112,86,25,75,33,35,7,87,69,18,48,13,3,2,30
"E01026865",2011,"Norwich 006C","Total",805,236,79,157,473,35,182,60,95,27,132,61,68,3,124,98,26,96,24,32,2,38
"E01026866",2011,"Norwich 006D","Total",767,293,68,225,347,45,159,71,68,20,79,61,15,3,64,47,17,127,12,34,4,77
"E01026867",2011,"Norwich 006E","Total",562,136,51,85,344,31,142,46,68,28,84,18,61,5,87,68,19,82,27,12,3,40
"E01026868",2011,"Norwich 006F","Total",565,119,41,78,354,14,155,51,77,27,78,18,53,7,107,81,26,92,28,31,1,32
"E01026869",2011,"Norwich 006G","Total",657,264,63,201,359,37,157,62,77,18,64,15,43,6,101,79,22,34,10,4,2,18
"E01033434",2011,"Norwich 011G","Total",615,311,62,249,234,13,88,43,39,6,97,85,10,2,36,23,13,70,6,15,0,49
"E01033435",2011,"Norwich 005G","Total",705,144,21,123,442,16,234,70,144,20,116,77,38,1,76,57,19,119,17,58,1,43
"E01033436",2011,"Norwich 005H","Total",596,187,89,98,355,40,164,71,68,25,65,31,30,4,86,60,26,54,13,23,1,17
"E01033437",2011,"Norwich 011H","Total",786,460,136,324,265,29,97,43,45,9,57,36,18,3,82,59,23,61,14,13,1,33
"E01033438",2011,"Norwich 014A","Total",878,557,276,281,254,59,90,45,40,5,80,70,9,1,25,16,9,67,3,7,3,54
"E01033439",2011,"Norwich 014B","Total",763,366,42,324,319,10,121,76,35,10,152,125,24,3,36,22,14,78,6,3,1,68
"E01033440",2011,"Norwich 014C","Total",662,377,30,347,215,8,89,50,36,3,86,69,16,1,32,22,10,70,5,11,0,54
"E01033441",2011,"Norwich 014D","Total",773,428,31,397,262,17,87,57,26,4,127,115,12,0,31,24,7,83,4,10,1,68
