"lsoa11cd","date","lsoa11nm","Rural Urban","Ethnic Group: All categories: Ethnic group; measures: Value","Ethnic Group: White; measures: Value","Ethnic Group: White: English/Welsh/Scottish/Northern Irish/British; measures: Value","Ethnic Group: White: Irish; measures: Value","Ethnic Group: White: Gypsy or Irish Traveller; measures: Value","Ethnic Group: White: Other White; measures: Value","Ethnic Group: Mixed; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black Caribbean; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Black African; measures: Value","Ethnic Group: Mixed/multiple ethnic group: White and Asian; measures: Value","Ethnic Group: Mixed/multiple ethnic group: Other Mixed; measures: Value","Ethnic Group: Asian; measures: Value","Ethnic Group: Asian/Asian British: Indian; measures: Value","Ethnic Group: Asian/Asian British: Pakistani; measures: Value","Ethnic Group: Asian/Asian British: Bangladeshi; measures: Value","Ethnic Group: Asian/Asian British: Chinese; measures: Value","Ethnic Group: Asian/Asian British: Other Asian; measures: Value","Ethnic Group: Black; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: African; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Caribbean; measures: Value","Ethnic Group: Black/African/Caribbean/Black British: Other Black; measures: Value","Ethnic Group: Other; measures: Value","Ethnic Group: Other ethnic group: Arab; measures: Value","Ethnic Group: Other ethnic group: Any other ethnic group; measures: Value"
"E01026826",2011,"Norwich 007E","Total",1456,1309,1216,4,0,89,44,5,14,14,11,54,16,1,17,9,11,22,18,0,4,27,18,9
"E01026827",2011,"Norwich 007F","Total",1501,1386,1272,11,0,103,35,5,15,2,13,32,6,3,1,8,14,35,34,0,1,13,7,6
"E01026828",2011,"Norwich 002A","Total",1744,1611,1527,9,2,73,44,14,14,9,7,54,24,1,13,0,16,31,28,3,0,4,2,2
"E01026829",2011,"Norwich 002B","Total",2093,1955,1755,13,6,181,39,8,16,4,11,32,4,4,5,3,16,54,51,2,1,13,4,9
"E01026830",2011,"Norwich 002C","Total",1276,1175,1062,9,4,100,44,12,5,12,15,34,4,3,3,7,17,15,14,0,1,8,1,7
"E01026831",2011,"Norwich 002D","Total",1242,1168,1066,10,1,91,29,7,7,10,5,23,5,6,1,3,8,13,12,1,0,9,1,8
"E01026832",2011,"Norwich 002E","Total",1415,1354,1274,4,0,76,27,10,5,3,9,20,2,0,5,9,4,13,10,0,3,1,0,1
"E01026833",2011,"Norwich 002F","Total",1382,1320,1199,8,9,104,24,5,9,2,8,18,4,0,2,2,10,17,17,0,0,3,2,1
"E01026834",2011,"Norwich 002G","Total",1503,1417,1318,2,1,96,43,11,14,13,5,13,0,1,0,8,4,21,16,2,3,9,0,9
"E01026835",2011,"Norwich 009A","Total",1502,1390,1276,18,0,96,55,14,5,21,15,40,10,3,4,9,14,13,6,7,0,4,0,4
"E01026836",2011,"Norwich 009B","Total",1566,1481,1357,27,0,97,43,9,12,11,11,31,16,1,1,7,6,8,7,1,0,3,0,3
"E01026837",2011,"Norwich 009C","Total",1471,1361,1251,26,1,83,44,11,10,10,13,41,11,2,2,10,16,14,10,3,1,11,4,7
"E01026838",2011,"Norwich 009D","Total",1551,1430,1313,20,0,97,34,2,3,18,11,63,25,7,3,16,12,9,7,2,0,15,7,8
"E01026839",2011,"Norwich 009E","Total",1596,1498,1370,24,0,104,37,5,6,18,8,41,12,9,0,9,11,8,6,1,1,12,3,9
"E01026840",2011,"Norwich 009F","Total",1611,1514,1408,17,1,88,37,12,7,9,9,37,9,1,0,13,14,13,4,7,2,10,3,7
"E01026841",2011,"Norwich 003A","Total",1453,1348,1253,9,1,85,26,5,1,13,7,54,8,0,21,11,14,18,16,1,1,7,1,6
"E01026842",2011,"Norwich 003B","Total",1648,1516,1419,6,2,89,28,6,5,8,9,59,10,8,19,11,11,27,20,7,0,18,7,11
"E01026843",2011,"Norwich 003C","Total",1905,1791,1692,6,0,93,32,5,6,11,10,44,6,0,15,1,22,27,26,1,0,11,5,6
"E01026844",2011,"Norwich 003D","Total",1741,1593,1476,13,3,101,52,27,11,9,5,50,16,0,18,6,10,34,26,4,4,12,11,1
"E01026845",2011,"Norwich 003E","Total",1561,1479,1339,4,3,133,34,10,3,5,16,26,2,1,3,3,17,13,11,2,0,9,4,5
"E01026846",2011,"Norwich 003F","Total",1626,1464,1324,14,0,126,30,8,10,6,6,80,10,1,21,19,29,39,32,5,2,13,6,7
"E01026848",2011,"Norwich 015A","Total",1856,1748,1581,13,1,153,42,19,9,7,7,41,15,4,1,9,12,21,10,8,3,4,4,0
"E01026849",2011,"Norwich 015B","Total",1738,1608,1503,13,1,91,27,7,8,3,9,75,44,0,3,10,18,22,19,2,1,6,3,3
"E01026850",2011,"Norwich 015C","Total",1827,1707,1585,16,0,106,30,11,3,5,11,65,19,1,21,12,12,14,11,2,1,11,6,5
"E01026852",2011,"Norwich 011A","Total",1295,1219,1156,4,0,59,15,3,0,5,7,45,21,6,3,3,12,13,5,7,1,3,3,0
"E01026853",2011,"Norwich 011B","Total",1751,1574,1452,5,0,117,43,7,10,13,13,111,62,3,5,20,21,9,4,5,0,14,2,12
"E01026855",2011,"Norwich 011D","Total",1568,1461,1342,18,1,100,37,9,4,7,17,55,26,2,2,16,9,10,5,3,2,5,1,4
"E01026856",2011,"Norwich 011E","Total",1821,1662,1535,12,2,113,64,8,2,26,28,46,21,2,0,14,9,38,34,3,1,11,5,6
"E01026857",2011,"Norwich 011F","Total",1515,1443,1367,14,1,61,27,6,6,5,10,30,11,1,4,12,2,6,4,1,1,9,4,5
"E01026858",2011,"Norwich 010A","Total",1512,1281,1203,5,0,73,43,6,19,4,14,131,33,3,15,58,22,47,34,12,1,10,5,5
"E01026859",2011,"Norwich 010B","Total",1659,1538,1471,15,0,52,45,8,14,13,10,44,8,6,3,10,17,22,19,1,2,10,2,8
"E01026860",2011,"Norwich 010C","Total",4313,2899,2601,34,14,250,139,22,13,71,33,1008,103,40,8,667,190,166,150,12,4,101,63,38
"E01026861",2011,"Norwich 010D","Total",1493,1270,1223,6,3,38,41,17,8,13,3,136,28,5,6,58,39,32,23,8,1,14,14,0
"E01026862",2011,"Norwich 010E","Total",1302,1186,1137,9,1,39,32,10,3,9,10,66,10,1,18,17,20,8,6,1,1,10,5,5
"E01026863",2011,"Norwich 006A","Total",1814,1654,1512,27,5,110,32,5,7,9,11,90,22,16,3,20,29,30,28,2,0,8,5,3
"E01026864",2011,"Norwich 006B","Total",1547,1450,1378,5,1,66,32,2,6,19,5,55,13,0,4,7,31,8,8,0,0,2,2,0
"E01026865",2011,"Norwich 006C","Total",1949,1752,1638,11,2,101,55,10,14,16,15,103,22,10,5,11,55,35,28,4,3,4,2,2
"E01026866",2011,"Norwich 006D","Total",1574,1473,1375,8,4,86,38,6,3,11,18,30,7,0,1,5,17,26,17,4,5,7,0,7
"E01026867",2011,"Norwich 006E","Total",1592,1439,1347,13,6,73,33,4,11,7,11,52,11,3,5,16,17,48,46,1,1,20,11,9
"E01026868",2011,"Norwich 006F","Total",1628,1497,1420,3,0,74,38,7,1,20,10,63,11,2,1,27,22,21,15,6,0,9,5,4
"E01026869",2011,"Norwich 006G","Total",1400,1289,1237,2,7,43,33,13,6,6,8,59,27,4,1,4,23,18,14,2,2,1,0,1
"E01033434",2011,"Norwich 011G","Total",1076,937,817,21,1,98,25,0,8,10,7,90,31,2,6,19,32,17,14,2,1,7,1,6
"E01033435",2011,"Norwich 005G","Total",1845,1362,1235,13,0,114,56,10,10,16,20,171,64,2,7,56,42,89,68,14,7,167,152,15
"E01033436",2011,"Norwich 005H","Total",1393,1243,1183,5,2,53,10,2,0,1,7,75,16,1,6,12,40,30,25,0,5,35,31,4
"E01033437",2011,"Norwich 011H","Total",1378,1213,1111,8,0,94,56,8,26,13,9,65,28,0,2,18,17,39,36,2,1,5,1,4
"E01033438",2011,"Norwich 014A","Total",1397,1274,1174,10,0,90,32,1,11,10,10,67,19,2,4,14,28,11,8,1,2,13,8,5
"E01033439",2011,"Norwich 014B","Total",1440,1302,1176,9,1,116,29,6,10,6,7,64,33,3,1,12,15,27,24,0,3,18,11,7
"E01033440",2011,"Norwich 014C","Total",1070,885,767,18,0,100,38,6,15,14,3,99,51,0,4,29,15,32,27,1,4,16,7,9
"E01033441",2011,"Norwich 014D","Total",1229,1008,887,15,0,106,45,4,17,14,10,134,68,1,3,47,15,27,26,1,0,15,9,6
