"lsoa11cd","date","lsoa11nm","Rural Urban","Qualification: All usual residents aged 16 and over; measures: Value","Qualification: No qualifications; measures: Value","Qualification: 1-4 O levels/CSE/GCSEs (any grades), Entry Level, Foundation Diploma; measures: Value","Qualification: NVQ Level 1, Foundation GNVQ, Basic Skills; measures: Value","Qualification: 5+ O level (Passes)/CSEs (Grade 1)/GCSEs (Grades A*-C), School Certificate, 1 A level/2-3 AS levels/VCEs, Higher Diploma, Welsh Baccalaureate Intermediate Diploma; measures: Value","Qualification: NVQ Level 2, Intermediate GNVQ, City and Guilds Craft, BTEC First/General Diploma, RSA Diploma; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: 2+ A levels/VCEs, 4+ AS levels, Higher School Certificate, Progression/Advanced Diploma, Welsh Baccalaureate Advanced Diploma; measures: Value","Qualification: NVQ Level 3, Advanced GNVQ, City and Guilds Advanced Craft, ONC, OND, BTEC National, RSA Advanced Diploma; measures: Value","Qualification: Degree (for example BA, BSc), Higher degree (for example MA, PhD, PGCE); measures: Value","Qualification: NVQ Level 4-5, HNC, HND, RSA Higher Diploma, BTEC Higher Level; measures: Value","Qualification: Professional qualifications (for example teaching, nursing, accountancy); measures: Value","Qualification: Other vocational/work-related qualifications; measures: Value","Qualification: Foreign qualifications; measures: Value"
"E01026850",2011,"Norwich 015C","Total",1558,231,609,150,727,259,77,490,181,432,53,297,290,108
"E01026852",2011,"Norwich 011A","Total",1106,146,381,50,591,118,48,392,99,373,42,344,225,74
"E01026853",2011,"Norwich 011B","Total",1542,415,452,136,494,202,59,324,119,336,46,190,223,136
"E01026855",2011,"Norwich 011D","Total",1395,116,536,107,820,177,38,604,134,503,59,330,257,92
"E01026856",2011,"Norwich 011E","Total",1630,121,604,82,1082,171,43,941,112,689,65,311,255,117
"E01026857",2011,"Norwich 011F","Total",1336,174,462,52,804,113,36,625,108,490,53,341,189,84
"E01026858",2011,"Norwich 010A","Total",1281,468,346,96,287,151,55,212,89,171,21,69,152,105
"E01026859",2011,"Norwich 010B","Total",1236,240,441,124,511,168,60,335,97,233,36,182,186,68
"E01026860",2011,"Norwich 010C","Total",4178,294,1473,150,2216,199,50,2189,167,586,40,148,317,858
"E01026861",2011,"Norwich 010D","Total",1253,377,419,101,377,153,37,296,81,163,21,64,140,81
"E01026862",2011,"Norwich 010E","Total",1074,233,386,75,462,134,44,319,91,216,40,150,169,49
"E01026863",2011,"Norwich 006A","Total",1570,223,601,114,724,219,79,551,146,380,63,214,269,133
"E01026864",2011,"Norwich 006B","Total",1226,302,442,126,314,208,86,141,135,120,31,129,226,66
"E01026865",2011,"Norwich 006C","Total",1492,452,507,179,385,228,52,239,126,195,37,137,204,117
"E01026866",2011,"Norwich 006D","Total",1365,247,540,110,621,192,81,423,148,353,59,181,243,88
"E01026867",2011,"Norwich 006E","Total",1154,445,350,114,236,157,57,130,90,84,16,54,124,55
"E01026868",2011,"Norwich 006F","Total",1182,389,375,96,295,171,38,226,79,148,21,62,116,75
"E01026869",2011,"Norwich 006G","Total",1075,434,348,116,147,187,38,59,59,52,11,66,137,40
"E01033434",2011,"Norwich 011G","Total",976,75,358,65,540,123,38,416,105,410,37,207,174,103
"E01033435",2011,"Norwich 005G","Total",1423,152,562,100,647,178,42,503,126,459,39,261,211,186
"E01033436",2011,"Norwich 005H","Total",1119,375,334,98,264,142,47,136,95,118,19,80,140,73
"E01033437",2011,"Norwich 011H","Total",1202,326,412,121,372,162,55,256,81,221,37,129,164,96
"E01033438",2011,"Norwich 014A","Total",1303,265,358,75,567,122,51,367,94,355,45,262,210,106
"E01033439",2011,"Norwich 014B","Total",1316,176,526,128,598,213,51,387,178,373,53,219,259,125
"E01033440",2011,"Norwich 014C","Total",970,131,367,106,375,140,37,245,100,282,41,147,152,139
"E01033441",2011,"Norwich 014D","Total",1143,85,466,139,561,158,53,388,130,458,63,255,205,143
