"lsoa11cd","date","lsoa11nm","Rural Urban","Establishment Type: All communal establishments; measures: Value","Establishment Type: All categories: Usual residents by communal establishment management and type; measures: Value","Establishment Type: Medical and care establishment: NHS: General hospital; measures: Value","Establishment Type: Medical and care establishment: NHS: Mental health hospital/unit (including secure units); measures: Value","Establishment Type: Medical and care establishment: NHS: Other hospital; measures: Value","Establishment Type: Medical and care establishment: Local Authority: Children's home (including secure units); measures: Value","Establishment Type: Medical and care establishment: Local Authority: Care home or other home; measures: Value","Establishment Type: Medical and care establishment: Registered Social Landlord/Housing Association; measures: Value","Establishment Type: Medical and care establishment: Other: Care home with nursing; measures: Value","Establishment Type: Medical and care establishment: Other: Care home without nursing; measures: Value","Establishment Type: Medical and care establishment: Other: Children's home (including secure units); measures: Value","Establishment Type: Medical and care establishment: Other; measures: Value","Establishment Type: Other establishments; measures: Value","Establishment Type: Establishment not stated; measures: Value"
"E01026791",2011,"Norwich 005A","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026792",2011,"Norwich 005B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026793",2011,"Norwich 005C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026794",2011,"Norwich 005D","Total",2,44,0,0,0,0,0,0,42,0,0,0,2,0
"E01026796",2011,"Norwich 005F","Total",1,7,0,0,0,0,0,0,0,7,0,0,0,0
"E01026797",2011,"Norwich 001A","Total",3,2,0,0,0,0,0,0,0,0,0,0,2,0
"E01026798",2011,"Norwich 001B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026799",2011,"Norwich 001C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026800",2011,"Norwich 001D","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026801",2011,"Norwich 001E","Total",3,46,0,0,0,0,0,0,20,18,0,0,8,0
"E01026802",2011,"Norwich 001F","Total",1,69,0,0,0,0,0,0,0,0,0,0,69,0
"E01026803",2011,"Norwich 004A","Total",1,50,0,0,0,0,0,0,50,0,0,0,0,0
"E01026804",2011,"Norwich 004B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026805",2011,"Norwich 004C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026806",2011,"Norwich 004D","Total",10,376,0,0,0,0,0,0,0,0,0,0,376,0
"E01026807",2011,"Norwich 004E","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026808",2011,"Norwich 004F","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026809",2011,"Norwich 004G","Total",1,9,0,0,0,0,0,0,0,0,0,9,0,0
"E01026810",2011,"Norwich 012A","Total",2,15,0,0,0,0,0,0,0,15,0,0,0,0
"E01026811",2011,"Norwich 012B","Total",2,19,0,0,0,0,0,0,0,19,0,0,0,0
"E01026812",2011,"Norwich 012C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026813",2011,"Norwich 012D","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026814",2011,"Norwich 012E","Total",1,20,0,0,0,0,0,0,0,0,0,0,20,0
"E01026815",2011,"Norwich 012F","Total",2,25,0,0,0,0,0,0,21,0,0,4,0,0
"E01026816",2011,"Norwich 013A","Total",2,42,0,0,0,0,0,0,0,42,0,0,0,0
"E01026817",2011,"Norwich 013B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026818",2011,"Norwich 013C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026819",2011,"Norwich 013D","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026820",2011,"Norwich 013E","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026821",2011,"Norwich 013F","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026822",2011,"Norwich 007A","Total",5,73,0,0,0,0,12,0,0,0,0,0,61,0
"E01026823",2011,"Norwich 007B","Total",8,106,0,0,0,0,0,0,0,20,0,0,86,0
"E01026824",2011,"Norwich 007C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026825",2011,"Norwich 007D","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026826",2011,"Norwich 007E","Total",2,50,0,0,0,0,0,0,0,29,0,0,21,0
"E01026827",2011,"Norwich 007F","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026828",2011,"Norwich 002A","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026829",2011,"Norwich 002B","Total",1,30,0,0,0,0,30,0,0,0,0,0,0,0
"E01026830",2011,"Norwich 002C","Total",2,24,0,0,0,0,0,0,0,0,0,0,24,0
"E01026831",2011,"Norwich 002D","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026832",2011,"Norwich 002E","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026833",2011,"Norwich 002F","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026834",2011,"Norwich 002G","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026835",2011,"Norwich 009A","Total",4,49,0,0,0,0,0,0,0,44,0,0,5,0
"E01026836",2011,"Norwich 009B","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026837",2011,"Norwich 009C","Total",5,23,0,0,0,0,0,0,0,0,0,0,23,0
"E01026838",2011,"Norwich 009D","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026839",2011,"Norwich 009E","Total",1,4,0,0,0,0,0,0,0,0,0,0,0,4
"E01026840",2011,"Norwich 009F","Total",1,7,0,0,0,0,0,0,0,0,0,0,7,0
"E01026841",2011,"Norwich 003A","Total",1,25,0,0,0,0,0,0,0,25,0,0,0,0
"E01026842",2011,"Norwich 003B","Total",1,20,0,0,0,0,0,0,0,20,0,0,0,0
"E01026843",2011,"Norwich 003C","Total",1,34,0,0,0,0,34,0,0,0,0,0,0,0
"E01026844",2011,"Norwich 003D","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026845",2011,"Norwich 003E","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026846",2011,"Norwich 003F","Total",2,17,0,0,0,0,0,0,0,15,0,0,0,2
"E01026848",2011,"Norwich 015A","Total",1,33,0,0,0,0,33,0,0,0,0,0,0,0
"E01026849",2011,"Norwich 015B","Total",4,61,0,0,0,0,0,0,0,61,0,0,0,0
"E01026850",2011,"Norwich 015C","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026852",2011,"Norwich 011A","Total",2,61,0,0,0,0,0,0,0,61,0,0,0,0
"E01026853",2011,"Norwich 011B","Total",1,5,0,0,0,0,0,0,0,0,0,0,0,5
"E01026855",2011,"Norwich 011D","Total",3,4,0,0,0,0,0,0,0,0,0,0,2,2
"E01026856",2011,"Norwich 011E","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026857",2011,"Norwich 011F","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026858",2011,"Norwich 010A","Total",2,4,0,0,0,0,0,0,0,4,0,0,0,0
"E01026859",2011,"Norwich 010B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026860",2011,"Norwich 010C","Total",26,3215,0,0,0,0,0,0,0,0,0,0,3214,1
"E01026861",2011,"Norwich 010D","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026862",2011,"Norwich 010E","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026863",2011,"Norwich 006A","Total",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026864",2011,"Norwich 006B","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026865",2011,"Norwich 006C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026866",2011,"Norwich 006D","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026867",2011,"Norwich 006E","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01026868",2011,"Norwich 006F","Total",1,5,0,0,0,0,0,0,0,0,0,0,5,0
"E01026869",2011,"Norwich 006G","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01033434",2011,"Norwich 011G","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01033435",2011,"Norwich 005G","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01033436",2011,"Norwich 005H","Total",1,10,0,0,0,0,0,0,0,10,0,0,0,0
"E01033437",2011,"Norwich 011H","Total",3,44,0,0,0,0,44,0,0,0,0,0,0,0
"E01033438",2011,"Norwich 014A","Total",7,47,0,0,0,0,0,0,0,20,0,0,27,0
"E01033439",2011,"Norwich 014B","Total",8,83,0,0,0,0,27,0,0,44,0,0,12,0
"E01033440",2011,"Norwich 014C","Total",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"E01033441",2011,"Norwich 014D","Total",1,0,0,0,0,0,0,0,0,0,0,0,0,0
