"lsoa11cd","date","lsoa11nm","Rural Urban","Distance travelled to work: All categories: Distance travelled to work; measures: Value","Distance travelled to work: Less than 2km; measures: Value","Distance travelled to work: 2km to less than 5km; measures: Value","Distance travelled to work: 5km to less than 10km; measures: Value","Distance travelled to work: 10km to less than 20km; measures: Value","Distance travelled to work: 20km to less than 30km; measures: Value","Distance travelled to work: 30km to less than 40km; measures: Value","Distance travelled to work: 40km to less than 60km; measures: Value","Distance travelled to work: 60km and over; measures: Value","Distance travelled to work: Work mainly at or from home; measures: Value","Distance travelled to work: Other; measures: Value","Distance travelled to work: Total distance (km); measures: Value","Distance travelled to work: Average distance (km); measures: Value"
"E01026848",2011,"Norwich 015A","Total",778,292,206,65,30,34,16,9,24,39,63,7425.2,11
"E01026849",2011,"Norwich 015B","Total",1073,353,245,126,47,75,33,10,42,95,47,12885,13.8
"E01026850",2011,"Norwich 015C","Total",1101,401,228,105,44,65,31,16,49,96,66,13607.5,14.5
"E01026852",2011,"Norwich 011A","Total",677,264,148,57,37,22,13,11,16,74,35,5220.6,9.2
"E01026853",2011,"Norwich 011B","Total",853,373,137,115,32,34,13,6,32,67,44,7991.8,10.8
"E01026855",2011,"Norwich 011D","Total",890,376,187,89,36,34,18,7,25,65,53,7377.6,9.6
"E01026856",2011,"Norwich 011E","Total",1014,387,265,57,41,40,31,14,50,85,44,12227.8,13.8
"E01026857",2011,"Norwich 011F","Total",694,210,190,50,25,18,21,5,28,92,55,6632.2,12.1
"E01026858",2011,"Norwich 010A","Total",496,100,220,54,12,10,10,4,18,24,44,5693.8,13.3
"E01026859",2011,"Norwich 010B","Total",634,131,236,70,28,18,19,6,19,56,51,5951.5,11.3
"E01026860",2011,"Norwich 010C","Total",876,121,309,53,15,27,14,18,96,145,78,17985,27.5
"E01026861",2011,"Norwich 010D","Total",555,118,227,58,30,17,12,6,24,22,41,6344.2,12.9
"E01026862",2011,"Norwich 010E","Total",574,146,218,47,32,16,9,4,28,38,36,6904,13.8
"E01026863",2011,"Norwich 006A","Total",908,158,388,76,38,38,26,7,45,70,62,12556.1,16.2
"E01026864",2011,"Norwich 006B","Total",781,93,360,81,45,26,22,11,18,71,54,7406.2,11.3
"E01026865",2011,"Norwich 006C","Total",810,134,401,66,38,12,31,5,23,43,57,7191.4,10.1
"E01026866",2011,"Norwich 006D","Total",842,194,345,50,46,29,31,11,26,49,61,7964.2,10.9
"E01026867",2011,"Norwich 006E","Total",575,80,268,45,34,16,13,4,13,35,67,4493.6,9.5
"E01026868",2011,"Norwich 006F","Total",607,113,243,55,22,30,13,5,23,44,59,6849.2,13.6
"E01026869",2011,"Norwich 006G","Total",513,88,249,55,18,14,15,5,7,26,36,3661.1,8.1
"E01033434",2011,"Norwich 011G","Total",712,285,157,50,33,27,32,10,31,48,39,9420.8,15.1
"E01033435",2011,"Norwich 005G","Total",891,212,134,242,80,15,44,29,33,55,47,11732.1,14.9
"E01033436",2011,"Norwich 005H","Total",530,115,167,110,30,7,10,14,15,22,40,6024.1,12.9
"E01033437",2011,"Norwich 011H","Total",552,226,132,39,24,11,9,5,11,50,45,3686.1,8.1
"E01033438",2011,"Norwich 014A","Total",621,260,99,51,26,21,6,9,22,92,35,5575,11.3
"E01033439",2011,"Norwich 014B","Total",930,394,196,79,52,30,13,6,49,55,56,12807.1,15.6
"E01033440",2011,"Norwich 014C","Total",667,301,91,73,44,19,26,4,16,48,45,5669,9.9
"E01033441",2011,"Norwich 014D","Total",846,307,124,78,52,78,23,4,48,75,57,12977.1,18.2
