"lsoa11cd","date","lsoa11nm","Rural Urban","Persons per Room: All categories: Number of persons per room in household; measures: Value","Persons per Room: Up to 0.5 persons per room; measures: Value","Persons per Room: Over 0.5 and up to 1.0 persons per room; measures: Value","Persons per Room: Over 1.0 and up to 1.5 persons per room; measures: Value","Persons per Room: Over 1.5 persons per room; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,431,223,7,0
"E01026792",2011,"Norwich 005B","Total",627,424,196,7,0
"E01026793",2011,"Norwich 005C","Total",625,323,274,26,2
"E01026794",2011,"Norwich 005D","Total",844,585,247,12,0
"E01026796",2011,"Norwich 005F","Total",650,435,200,13,2
"E01026797",2011,"Norwich 001A","Total",1070,739,319,10,2
"E01026798",2011,"Norwich 001B","Total",670,437,214,19,0
"E01026799",2011,"Norwich 001C","Total",626,412,203,9,2
"E01026800",2011,"Norwich 001D","Total",901,613,264,21,3
"E01026801",2011,"Norwich 001E","Total",684,536,141,4,3
"E01026802",2011,"Norwich 001F","Total",785,607,166,9,3
"E01026803",2011,"Norwich 004A","Total",638,467,162,8,1
"E01026804",2011,"Norwich 004B","Total",633,489,139,5,0
"E01026805",2011,"Norwich 004C","Total",639,480,153,4,2
"E01026806",2011,"Norwich 004D","Total",508,403,105,0,0
"E01026807",2011,"Norwich 004E","Total",523,373,135,13,2
"E01026808",2011,"Norwich 004F","Total",516,310,193,12,1
"E01026809",2011,"Norwich 004G","Total",762,598,155,7,2
"E01026810",2011,"Norwich 012A","Total",635,540,91,3,1
"E01026811",2011,"Norwich 012B","Total",723,648,73,2,0
"E01026812",2011,"Norwich 012C","Total",639,525,114,0,0
"E01026813",2011,"Norwich 012D","Total",635,549,83,3,0
"E01026814",2011,"Norwich 012E","Total",653,463,181,8,1
"E01026815",2011,"Norwich 012F","Total",648,554,92,2,0
"E01026816",2011,"Norwich 013A","Total",934,757,164,7,6
"E01026817",2011,"Norwich 013B","Total",706,559,140,3,4
"E01026818",2011,"Norwich 013C","Total",626,439,177,8,2
"E01026819",2011,"Norwich 013D","Total",625,411,200,12,2
"E01026820",2011,"Norwich 013E","Total",755,532,203,17,3
"E01026821",2011,"Norwich 013F","Total",712,527,172,12,1
"E01026822",2011,"Norwich 007A","Total",1228,969,250,5,4
"E01026823",2011,"Norwich 007B","Total",1099,889,200,6,4
"E01026824",2011,"Norwich 007C","Total",868,717,141,7,3
"E01026825",2011,"Norwich 007D","Total",718,591,125,2,0
"E01026826",2011,"Norwich 007E","Total",864,697,153,10,4
"E01026827",2011,"Norwich 007F","Total",931,763,160,4,4
"E01026828",2011,"Norwich 002A","Total",664,400,243,21,0
"E01026829",2011,"Norwich 002B","Total",857,569,272,13,3
"E01026830",2011,"Norwich 002C","Total",682,532,145,3,2
"E01026831",2011,"Norwich 002D","Total",632,532,98,0,2
"E01026832",2011,"Norwich 002E","Total",498,298,187,13,0
"E01026833",2011,"Norwich 002F","Total",696,505,180,9,2
"E01026834",2011,"Norwich 002G","Total",644,423,210,10,1
"E01026835",2011,"Norwich 009A","Total",643,478,164,1,0
"E01026836",2011,"Norwich 009B","Total",646,484,162,0,0
"E01026837",2011,"Norwich 009C","Total",735,585,144,1,5
"E01026838",2011,"Norwich 009D","Total",645,481,161,1,2
"E01026839",2011,"Norwich 009E","Total",668,473,195,0,0
"E01026840",2011,"Norwich 009F","Total",759,624,135,0,0
"E01026841",2011,"Norwich 003A","Total",726,600,121,2,3
"E01026842",2011,"Norwich 003B","Total",818,653,162,2,1
"E01026843",2011,"Norwich 003C","Total",902,693,198,9,2
"E01026844",2011,"Norwich 003D","Total",823,594,218,7,4
"E01026845",2011,"Norwich 003E","Total",786,650,131,4,1
"E01026846",2011,"Norwich 003F","Total",811,643,153,8,7
"E01026848",2011,"Norwich 015A","Total",1015,803,204,7,1
"E01026849",2011,"Norwich 015B","Total",913,766,140,6,1
"E01026850",2011,"Norwich 015C","Total",952,783,159,7,3
"E01026852",2011,"Norwich 011A","Total",598,506,88,3,1
"E01026853",2011,"Norwich 011B","Total",1011,826,175,8,2
"E01026855",2011,"Norwich 011D","Total",773,606,165,1,1
"E01026856",2011,"Norwich 011E","Total",847,656,187,3,1
"E01026857",2011,"Norwich 011F","Total",751,632,115,3,1
"E01026858",2011,"Norwich 010A","Total",745,550,188,3,4
"E01026859",2011,"Norwich 010B","Total",640,422,208,9,1
"E01026860",2011,"Norwich 010C","Total",470,356,105,6,3
"E01026861",2011,"Norwich 010D","Total",549,319,218,7,5
"E01026862",2011,"Norwich 010E","Total",497,330,161,5,1
"E01026863",2011,"Norwich 006A","Total",771,563,206,2,0
"E01026864",2011,"Norwich 006B","Total",657,457,191,6,3
"E01026865",2011,"Norwich 006C","Total",805,496,286,19,4
"E01026866",2011,"Norwich 006D","Total",767,627,136,3,1
"E01026867",2011,"Norwich 006E","Total",562,322,220,17,3
"E01026868",2011,"Norwich 006F","Total",565,311,238,15,1
"E01026869",2011,"Norwich 006G","Total",657,470,178,8,1
"E01033434",2011,"Norwich 011G","Total",615,477,130,4,4
"E01033435",2011,"Norwich 005G","Total",705,459,227,15,4
"E01033436",2011,"Norwich 005H","Total",596,411,168,17,0
"E01033437",2011,"Norwich 011H","Total",786,639,140,2,5
"E01033438",2011,"Norwich 014A","Total",878,737,133,4,4
"E01033439",2011,"Norwich 014B","Total",763,567,181,4,11
"E01033440",2011,"Norwich 014C","Total",662,502,150,9,1
"E01033441",2011,"Norwich 014D","Total",773,572,188,8,5
