"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,419,59,253,0,1,8,30,50,18,242,112,23,25,67,15
"E01026792",2011,"Norwich 005B","Total",627,397,57,259,2,5,12,28,25,9,230,167,10,21,20,12
"E01026793",2011,"Norwich 005C","Total",625,395,68,235,1,4,11,26,28,22,230,123,9,40,46,12
"E01026794",2011,"Norwich 005D","Total",844,613,86,425,1,7,13,43,28,10,231,130,20,26,46,9
"E01026796",2011,"Norwich 005F","Total",650,374,70,177,1,5,10,31,22,58,276,172,27,27,38,12
"E01026797",2011,"Norwich 001A","Total",1070,856,75,636,2,21,7,63,44,8,214,140,8,21,29,16
"E01026798",2011,"Norwich 001B","Total",670,458,81,281,2,7,4,38,42,3,212,118,6,19,50,19
"E01026799",2011,"Norwich 001C","Total",626,454,66,314,0,9,5,26,34,0,172,102,1,16,41,12
"E01026800",2011,"Norwich 001D","Total",901,608,106,352,2,15,19,32,72,10,293,145,6,50,73,19
"E01026801",2011,"Norwich 001E","Total",684,436,67,295,1,9,6,47,9,2,248,229,0,5,8,6
"E01026802",2011,"Norwich 001F","Total",785,555,80,356,3,9,15,42,40,10,230,170,1,8,37,14
"E01026803",2011,"Norwich 004A","Total",638,321,52,209,2,1,9,23,22,3,317,241,1,21,37,17
"E01026804",2011,"Norwich 004B","Total",633,365,65,222,2,7,13,36,17,3,268,225,4,15,15,9
"E01026805",2011,"Norwich 004C","Total",639,350,68,214,1,8,6,36,15,2,289,226,2,23,27,11
"E01026806",2011,"Norwich 004D","Total",508,318,56,206,1,5,12,30,8,0,190,172,1,5,9,3
"E01026807",2011,"Norwich 004E","Total",523,380,61,253,1,7,15,29,13,1,143,104,3,16,15,5
"E01026808",2011,"Norwich 004F","Total",516,323,70,173,5,6,7,19,40,3,193,111,3,27,40,12
"E01026809",2011,"Norwich 004G","Total",762,413,74,249,0,5,4,30,49,2,349,235,3,23,71,17
"E01026810",2011,"Norwich 012A","Total",635,343,47,230,1,17,8,26,6,8,292,252,8,8,14,10
"E01026811",2011,"Norwich 012B","Total",723,375,46,234,0,27,21,40,4,3,348,335,3,3,4,3
"E01026812",2011,"Norwich 012C","Total",639,426,51,298,2,17,15,34,6,3,213,198,4,2,7,2
"E01026813",2011,"Norwich 012D","Total",635,335,57,205,4,18,14,30,5,2,300,291,1,2,5,1
"E01026814",2011,"Norwich 012E","Total",653,373,51,231,0,9,9,31,15,27,280,226,14,10,18,12
"E01026815",2011,"Norwich 012F","Total",648,441,50,265,3,28,20,47,7,21,207,172,16,2,8,9
"E01026816",2011,"Norwich 013A","Total",934,676,84,456,4,17,22,50,28,15,258,183,9,13,41,12
"E01026817",2011,"Norwich 013B","Total",706,384,75,222,1,9,13,36,25,3,322,260,3,10,35,14
"E01026818",2011,"Norwich 013C","Total",626,397,85,223,2,8,14,39,22,4,229,143,3,32,41,10
"E01026819",2011,"Norwich 013D","Total",625,407,89,230,1,5,11,29,38,4,218,117,0,24,58,19
"E01026820",2011,"Norwich 013E","Total",755,411,77,248,0,8,14,31,32,1,344,257,7,22,42,16
"E01026821",2011,"Norwich 013F","Total",712,393,76,238,1,7,8,38,23,2,319,245,4,23,40,7
"E01026822",2011,"Norwich 007A","Total",1228,745,89,458,1,14,24,51,73,35,483,309,32,18,103,21
"E01026823",2011,"Norwich 007B","Total",1099,807,77,523,4,29,30,69,38,37,292,166,23,8,73,22
"E01026824",2011,"Norwich 007C","Total",868,512,91,298,2,6,13,25,57,20,356,213,16,16,92,19
"E01026825",2011,"Norwich 007D","Total",718,512,70,310,1,13,17,42,36,23,206,104,15,9,68,10
"E01026826",2011,"Norwich 007E","Total",864,520,88,292,0,15,16,35,64,10,344,204,7,16,92,25
"E01026827",2011,"Norwich 007F","Total",931,454,81,257,0,8,5,41,54,8,477,308,16,23,107,23
"E01026828",2011,"Norwich 002A","Total",664,442,105,254,1,10,8,17,40,7,222,138,2,31,39,12
