"lsoa11cd","date","lsoa11nm","Rural Urban","Country of Birth: All usual residents; measures: Value","Country of Birth: United Kingdom; measures: Value","Country of Birth: England; measures: Value","Country of Birth: Northern Ireland; measures: Value","Country of Birth: Scotland; measures: Value","Country of Birth: Wales; measures: Value","Country of Birth: United Kingdom not otherwise specified; measures: Value","Country of Birth: Ireland; measures: Value","Country of Birth: Other EU; measures: Value","Country of Birth: Other EU: Member countries in March 2001; measures: Value","Country of Birth: Other EU: Accession countries April 2001 to March 2011; measures: Value","Country of Birth: Other countries; measures: Value"
"E01026855",2011,"Norwich 011D","Total",1568,1361,1309,10,24,18,0,10,82,51,31,115
"E01026856",2011,"Norwich 011E","Total",1821,1595,1546,7,24,18,0,4,95,71,24,127
"E01026857",2011,"Norwich 011F","Total",1515,1365,1313,7,26,18,1,8,57,40,17,85
"E01026858",2011,"Norwich 010A","Total",1512,1279,1255,3,13,8,0,6,61,32,29,166
"E01026859",2011,"Norwich 010B","Total",1659,1517,1483,5,17,12,0,10,44,25,19,88
"E01026860",2011,"Norwich 010C","Total",4313,2831,2738,21,47,25,0,19,165,95,70,1298
"E01026861",2011,"Norwich 010D","Total",1493,1300,1265,9,18,6,2,5,30,17,13,158
"E01026862",2011,"Norwich 010E","Total",1302,1179,1150,4,15,10,0,6,35,27,8,82
"E01026863",2011,"Norwich 006A","Total",1814,1559,1524,5,18,12,0,27,90,32,58,138
"E01026864",2011,"Norwich 006B","Total",1547,1402,1376,4,16,5,1,0,58,18,40,87
"E01026865",2011,"Norwich 006C","Total",1949,1695,1667,2,17,9,0,11,92,34,58,151
"E01026866",2011,"Norwich 006D","Total",1574,1397,1362,5,20,9,1,6,79,37,42,92
"E01026867",2011,"Norwich 006E","Total",1592,1396,1357,0,28,11,0,8,71,26,45,117
"E01026868",2011,"Norwich 006F","Total",1628,1450,1420,4,20,6,0,5,53,19,34,120
"E01026869",2011,"Norwich 006G","Total",1400,1289,1266,1,9,13,0,2,38,11,27,71
"E01033434",2011,"Norwich 011G","Total",1076,849,818,8,14,9,0,19,79,52,27,129
"E01033435",2011,"Norwich 005G","Total",1845,1359,1325,9,17,8,0,11,89,59,30,386
"E01033436",2011,"Norwich 005H","Total",1393,1203,1178,6,15,4,0,4,45,19,26,141
"E01033437",2011,"Norwich 011H","Total",1378,1152,1123,0,14,13,2,8,75,32,43,143
"E01033438",2011,"Norwich 014A","Total",1397,1165,1118,7,29,11,0,8,72,41,31,152
"E01033439",2011,"Norwich 014B","Total",1440,1196,1157,4,23,12,0,4,108,47,61,132
"E01033440",2011,"Norwich 014C","Total",1070,793,762,6,16,9,0,12,65,30,35,200
"E01033441",2011,"Norwich 014D","Total",1229,915,868,10,25,12,0,13,81,47,34,220
