"lsoa11cd","date","lsoa11nm","Rural Urban","Living Arrangement: All categories: Living arrangements; measures: Value","Living Arrangement: Living in a couple: Total; measures: Value","Living Arrangement: Living in a couple: Married; measures: Value","Living Arrangement: Living in a couple: Cohabiting (opposite-sex); measures: Value","Living Arrangement: Living in a couple: In a registered same-sex civil partnership or cohabiting (same-sex); measures: Value","Living Arrangement: Not living in a couple: Total; measures: Value","Living Arrangement: Not living in a couple: Single (never married or never registered a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Married or in a registered same-sex civil partnership; measures: Value","Living Arrangement: Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership); measures: Value","Living Arrangement: Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved; measures: Value","Living Arrangement: Not living in a couple: Widowed or surviving partner from a same-sex civil partnership; measures: Value"
"E01026857",2011,"Norwich 011F","Total",1336,618,452,154,12,718,445,12,16,96,149
"E01026858",2011,"Norwich 010A","Total",1277,528,370,144,14,749,471,11,20,115,132
"E01026859",2011,"Norwich 010B","Total",1236,632,470,156,6,604,436,8,22,74,64
"E01026860",2011,"Norwich 010C","Total",965,454,362,92,0,511,356,15,10,53,77
"E01026861",2011,"Norwich 010D","Total",1253,536,410,122,4,717,556,5,24,67,65
"E01026862",2011,"Norwich 010E","Total",1074,500,414,80,6,574,403,13,27,49,82
"E01026863",2011,"Norwich 006A","Total",1570,740,522,208,10,830,612,27,25,96,70
"E01026864",2011,"Norwich 006B","Total",1226,754,588,156,10,472,279,16,24,89,64
"E01026865",2011,"Norwich 006C","Total",1492,744,458,276,10,748,518,15,29,118,68
"E01026866",2011,"Norwich 006D","Total",1365,588,412,168,8,777,592,14,23,101,47
"E01026867",2011,"Norwich 006E","Total",1154,574,378,188,8,580,397,16,21,92,54
"E01026868",2011,"Norwich 006F","Total",1180,546,360,170,16,634,463,13,19,95,44
"E01026869",2011,"Norwich 006G","Total",1075,526,386,132,8,549,324,7,32,131,55
"E01033434",2011,"Norwich 011G","Total",976,416,216,178,22,560,396,17,32,68,47
"E01033435",2011,"Norwich 005G","Total",1423,772,514,244,14,651,499,29,21,82,20
"E01033436",2011,"Norwich 005H","Total",1109,582,424,156,2,527,334,17,20,85,71
"E01033437",2011,"Norwich 011H","Total",1158,390,254,126,10,768,464,17,35,169,83
"E01033438",2011,"Norwich 014A","Total",1256,472,290,170,12,784,419,25,31,140,169
"E01033439",2011,"Norwich 014B","Total",1233,612,272,326,14,621,449,25,31,90,26
"E01033440",2011,"Norwich 014C","Total",970,386,192,164,30,584,429,19,33,90,13
"E01033441",2011,"Norwich 014D","Total",1143,478,200,250,28,665,476,38,37,88,26
