"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition (alternative child and adult defintions); measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: One person aged 65 and over; measures: Value","Household Composition: One person household: One person aged under 65; measures: Value","Household Composition: Other households: Total; measures: Value","Household Composition: Other households: No adults or one adult and one or more children; measures: Value","Household Composition: Other households: One adult aged 16 to 64 and one aged 65 and over and no children or two adults aged 65 and over and no children; measures: Value","Household Composition: Other households: Two adults and one or two children; measures: Value","Household Composition: Other households: Two adults aged 16 to 64 and no children; measures: Value","Household Composition: Other households: Two adults and three or more children; measures: Value","Household Composition: Other households: Three or more adults and one or more children; measures: Value","Household Composition: Other households: Three or more adults and no children; measures: Value"
"E01026791",2011,"Norwich 005A","Total",661,262,71,191,399,60,35,73,107,17,22,85
"E01026792",2011,"Norwich 005B","Total",627,180,80,100,447,33,83,91,134,20,18,68
"E01026793",2011,"Norwich 005C","Total",625,102,46,56,523,67,76,96,93,50,44,97
"E01026794",2011,"Norwich 005D","Total",844,210,56,154,634,41,77,127,222,24,41,102
"E01026796",2011,"Norwich 005F","Total",650,196,88,108,454,52,81,51,80,25,32,133
"E01026797",2011,"Norwich 001A","Total",1070,341,73,268,729,57,64,170,277,28,29,104
"E01026798",2011,"Norwich 001B","Total",670,250,68,182,420,50,64,79,102,25,41,59
"E01026799",2011,"Norwich 001C","Total",626,181,42,139,445,53,55,92,128,17,25,75
"E01026800",2011,"Norwich 001D","Total",901,364,93,271,537,80,50,105,159,30,41,72
"E01026801",2011,"Norwich 001E","Total",684,180,94,86,504,14,134,85,139,11,24,97
"E01026802",2011,"Norwich 001F","Total",785,329,88,241,456,47,84,90,143,14,15,63
"E01026803",2011,"Norwich 004A","Total",638,212,113,99,426,48,118,69,92,16,20,63
"E01026804",2011,"Norwich 004B","Total",633,187,111,76,446,30,131,64,114,14,33,60
"E01026805",2011,"Norwich 004C","Total",639,207,120,87,432,52,128,66,81,19,24,62
"E01026806",2011,"Norwich 004D","Total",508,131,67,64,377,10,111,59,113,9,14,61
"E01026807",2011,"Norwich 004E","Total",523,152,69,83,371,30,40,63,123,33,19,63
"E01026808",2011,"Norwich 004F","Total",516,154,68,86,362,62,38,57,82,30,35,58
"E01026809",2011,"Norwich 004G","Total",762,335,120,215,427,47,112,71,106,18,18,55
"E01026810",2011,"Norwich 012A","Total",635,205,127,78,430,18,138,65,104,12,20,73
"E01026811",2011,"Norwich 012B","Total",723,243,170,73,480,5,171,83,112,8,28,73
"E01026812",2011,"Norwich 012C","Total",639,178,81,97,461,12,117,84,142,11,32,63
"E01026813",2011,"Norwich 012D","Total",635,172,125,47,463,4,176,76,96,9,25,77
"E01026814",2011,"Norwich 012E","Total",653,203,116,87,450,28,105,68,109,20,21,99
"E01026815",2011,"Norwich 012F","Total",648,206,92,114,442,19,85,98,129,9,23,79
"E01026816",2011,"Norwich 013A","Total",934,446,134,312,488,48,57,80,232,9,15,47
"E01026817",2011,"Norwich 013B","Total",706,297,180,117,409,38,87,71,127,14,15,57
"E01026818",2011,"Norwich 013C","Total",626,173,69,104,453,62,71,80,127,13,36,64
"E01026819",2011,"Norwich 013D","Total",625,214,54,160,411,61,48,76,114,23,27,62
"E01026820",2011,"Norwich 013E","Total",755,272,167,105,483,55,89,83,110,27,47,72
"E01026821",2011,"Norwich 013F","Total",712,254,134,120,458,42,109,82,110,21,15,79
"E01026822",2011,"Norwich 007A","Total",1228,694,219,475,534,46,88,55,275,1,6,63
"E01026823",2011,"Norwich 007B","Total",1099,597,116,481,502,28,61,42,287,3,4,77
"E01026824",2011,"Norwich 007C","Total",868,476,146,330,392,40,58,54,176,8,6,50
"E01026825",2011,"Norwich 007D","Total",718,359,78,281,359,26,35,59,176,3,6,54
"E01026826",2011,"Norwich 007E","Total",864,515,174,341,349,47,35,49,160,10,9,39
"E01026827",2011,"Norwich 007F","Total",931,547,225,322,384,67,75,55,138,8,6,35
"E01026828",2011,"Norwich 002A","Total",664,162,59,103,502,66,67,103,105,38,34,89
"E01026829",2011,"Norwich 002B","Total",857,266,63,203,591,72,47,122,175,35,31,109
"E01026830",2011,"Norwich 002C","Total",682,312,112,200,370,48,80,63,123,5,9,42
"E01026831",2011,"Norwich 002D","Total",632,257,33,224,375,21,28,65,190,10,4,57
"E01026832",2011,"Norwich 002E","Total",498,99,51,48,399,48,66,71,69,27,49,69
"E01026833",2011,"Norwich 002F","Total",696,321,95,226,375,56,54,96,100,16,19,34
"E01026834",2011,"Norwich 002G","Total",644,206,98,108,438,61,70,92,100,17,30,68
"E01026835",2011,"Norwich 009A","Total",643,236,51,185,407,36,39,58,126,11,14,123
"E01026836",2011,"Norwich 009B","Total",646,181,40,141,465,32,46,85,140,17,20,125
"E01026837",2011,"Norwich 009C","Total",735,338,89,249,397,18,48,63,164,18,13,73
"E01026838",2011,"Norwich 009D","Total",645,171,53,118,474,26,61,104,150,14,15,104
"E01026839",2011,"Norwich 009E","Total",668,204,31,173,464,26,24,78,154,6,8,168
"E01026840",2011,"Norwich 009F","Total",759,233,42,191,526,41,44,77,258,4,12,90
"E01026841",2011,"Norwich 003A","Total",726,272,39,233,454,33,34,86,235,6,10,50
"E01026842",2011,"Norwich 003B","Total",818,324,61,263,494,23,55,95,227,9,12,73
"E01026843",2011,"Norwich 003C","Total",902,338,113,225,564,56,80,101,218,9,35,65
"E01026844",2011,"Norwich 003D","Total",823,314,65,249,509,72,68,90,179,24,22,54
"E01026845",2011,"Norwich 003E","Total",786,286,36,250,500,39,34,97,257,8,13,52
"E01026846",2011,"Norwich 003F","Total",811,320,64,256,491,41,33,92,234,7,12,72
"E01026848",2011,"Norwich 015A","Total",1015,512,182,330,503,95,69,96,152,8,14,69
"E01026849",2011,"Norwich 015B","Total",913,409,66,343,504,16,67,88,258,6,13,56
"E01026850",2011,"Norwich 015C","Total",952,390,80,310,562,44,67,104,268,12,15,52
"E01026852",2011,"Norwich 011A","Total",598,228,100,128,370,9,70,78,136,8,21,48
"E01026853",2011,"Norwich 011B","Total",1011,534,208,326,477,53,80,67,195,7,9,66
"E01026855",2011,"Norwich 011D","Total",773,332,102,230,441,19,59,66,167,10,12,108
"E01026856",2011,"Norwich 011E","Total",847,306,59,247,541,38,36,68,230,7,9,153
"E01026857",2011,"Norwich 011F","Total",751,327,192,135,424,19,95,59,123,9,21,98
"E01026858",2011,"Norwich 010A","Total",745,323,161,162,422,46,99,66,94,13,17,87
"E01026859",2011,"Norwich 010B","Total",640,154,76,78,486,73,66,105,97,27,25,93
"E01026860",2011,"Norwich 010C","Total",470,152,85,67,318,11,87,36,68,13,13,90
"E01026861",2011,"Norwich 010D","Total",549,105,59,46,444,43,69,69,72,11,28,152
"E01026862",2011,"Norwich 010E","Total",497,122,86,36,375,22,68,57,69,15,35,109
"E01026863",2011,"Norwich 006A","Total",771,215,80,135,556,37,73,90,186,8,22,140
"E01026864",2011,"Norwich 006B","Total",657,169,75,94,488,56,80,86,148,12,31,75
"E01026865",2011,"Norwich 006C","Total",805,236,79,157,569,81,52,109,158,31,35,103
"E01026866",2011,"Norwich 006D","Total",767,293,68,225,474,43,73,58,181,13,15,91
"E01026867",2011,"Norwich 006E","Total",562,136,51,85,426,44,52,71,76,31,65,87
"E01026868",2011,"Norwich 006F","Total",565,119,41,78,446,66,35,81,94,34,43,93
"E01026869",2011,"Norwich 006G","Total",657,264,63,201,393,60,66,91,89,19,19,49
"E01033434",2011,"Norwich 011G","Total",615,311,62,249,304,16,24,47,165,2,8,42
"E01033435",2011,"Norwich 005G","Total",705,144,21,123,561,50,25,145,198,22,29,92
"E01033436",2011,"Norwich 005H","Total",596,187,89,98,409,41,65,67,118,22,28,68
"E01033437",2011,"Norwich 011H","Total",786,460,136,324,326,43,50,51,113,9,19,41
"E01033438",2011,"Norwich 014A","Total",878,557,276,281,321,12,78,36,137,5,10,43
"E01033439",2011,"Norwich 014B","Total",763,366,42,324,397,18,26,48,235,6,8,56
"E01033440",2011,"Norwich 014C","Total",662,377,30,347,285,19,16,43,170,6,5,26
"E01033441",2011,"Norwich 014D","Total",773,428,31,397,345,21,32,39,215,0,4,34
