"lsoa11cd","date","lsoa11nm","Rural Urban","Hours Worked: All usual residents aged 16 to 74 in employment the week before the census; measures: Value","Hours Worked: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Males: Total; measures: Value","Hours Worked: Males: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Males: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Males: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Males: Full-time: 49 or more hours worked; measures: Value","Hours Worked: Females: Total; measures: Value","Hours Worked: Females: Part-time: 15 hours or less worked; measures: Value","Hours Worked: Females: Part-time: 16 to 30 hours worked; measures: Value","Hours Worked: Females: Full-time: 31 to 48 hours worked; measures: Value","Hours Worked: Females: Full-time: 49 or more hours worked; measures: Value"
"E01026845",2011,"Norwich 003E","Total",1052,61,176,726,89,547,17,61,408,61,505,44,115,318,28
"E01026846",2011,"Norwich 003F","Total",982,88,174,631,89,517,34,59,358,66,465,54,115,273,23
"E01026848",2011,"Norwich 015A","Total",778,59,144,507,68,405,22,36,293,54,373,37,108,214,14
"E01026849",2011,"Norwich 015B","Total",1073,79,143,705,146,610,26,50,433,101,463,53,93,272,45
"E01026850",2011,"Norwich 015C","Total",1101,60,155,750,136,597,22,51,432,92,504,38,104,318,44
"E01026852",2011,"Norwich 011A","Total",677,86,142,364,85,353,34,47,211,61,324,52,95,153,24
"E01026853",2011,"Norwich 011B","Total",853,77,166,523,87,470,29,61,318,62,383,48,105,205,25
"E01026855",2011,"Norwich 011D","Total",890,119,154,516,101,467,50,56,295,66,423,69,98,221,35
"E01026856",2011,"Norwich 011E","Total",1014,184,161,552,117,494,80,45,299,70,520,104,116,253,47
"E01026857",2011,"Norwich 011F","Total",694,122,119,351,102,365,49,33,211,72,329,73,86,140,30
"E01026858",2011,"Norwich 010A","Total",496,82,110,258,46,255,28,35,161,31,241,54,75,97,15
"E01026859",2011,"Norwich 010B","Total",634,101,147,333,53,308,34,32,202,40,326,67,115,131,13
"E01026860",2011,"Norwich 010C","Total",876,446,172,217,41,399,173,57,140,29,477,273,115,77,12
