"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC of household reference person; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01026803",2011,"Norwich 004A","Total",983,59,10,0,10,49,26,20,3,0,115,58,44,4,10,0,26,31,103,57,37,9,0,85,6,6,0,79,79,0,88,51,37,36,1,225,74,70,17,50,2,12,0,229,28,30,101,70,0,63,34,29,16,16,0
"E01026804",2011,"Norwich 004B","Total",1044,70,5,0,5,65,37,14,11,3,215,128,91,31,6,0,52,35,115,57,47,7,4,121,19,19,0,102,99,3,135,56,79,71,8,181,67,72,12,25,2,1,2,154,6,16,73,57,2,38,12,26,15,15,0
"E01026805",2011,"Norwich 004C","Total",1039,46,21,0,21,25,20,0,2,3,113,59,40,6,11,2,29,25,90,50,23,15,2,155,33,33,0,122,116,6,131,78,53,46,7,228,57,85,31,47,0,4,4,226,22,13,114,77,0,38,19,19,12,12,0
"E01026806",2011,"Norwich 004D","Total",823,50,9,0,9,41,21,16,2,2,196,138,113,11,12,2,33,25,126,56,39,16,15,116,15,12,3,101,101,0,72,24,48,38,10,150,31,60,8,34,0,11,6,105,6,7,62,30,0,8,4,4,0,0,0
"E01026807",2011,"Norwich 004E","Total",1082,124,33,0,33,91,46,38,7,0,247,174,132,22,20,0,50,23,111,57,33,9,12,97,8,8,0,89,89,0,108,58,50,49,1,183,35,81,18,37,0,6,6,160,18,7,69,63,3,45,32,13,7,7,0
"E01026808",2011,"Norwich 004F","Total",1152,45,5,0,5,40,23,11,6,0,164,107,90,9,5,3,48,9,109,47,49,11,2,102,27,27,0,75,75,0,132,84,48,38,10,256,87,101,30,27,1,6,4,196,31,10,47,106,2,139,76,63,9,9,0
"E01026809",2011,"Norwich 004G","Total",1085,44,12,0,12,32,9,19,0,4,145,79,64,12,1,2,55,11,119,53,45,10,11,111,12,12,0,99,99,0,130,67,63,60,3,246,76,84,27,47,1,6,5,221,8,24,55,133,1,60,23,37,9,9,0
"E01026810",2011,"Norwich 012A","Total",941,289,56,0,56,233,161,48,20,4,249,168,135,16,17,0,50,31,75,35,25,11,4,93,34,34,0,59,59,0,38,13,25,25,0,62,23,17,4,7,5,6,0,60,8,2,20,30,0,19,7,12,56,53,3
"E01026811",2011,"Norwich 012B","Total",1000,368,55,0,55,313,189,45,74,5,369,242,177,28,35,2,92,35,73,42,13,11,7,98,37,37,0,61,61,0,25,14,11,11,0,30,5,15,6,2,0,1,1,20,0,3,15,2,0,5,0,5,12,12,0
"E01026812",2011,"Norwich 012C","Total",1088,283,34,0,34,249,156,69,10,14,363,230,170,22,35,3,84,49,115,72,26,14,3,120,41,40,1,79,79,0,55,19,36,31,5,78,21,33,5,6,0,10,3,48,2,4,28,14,0,13,2,11,13,13,0
"E01026813",2011,"Norwich 012D","Total",931,303,51,7,44,252,160,43,36,13,269,169,133,14,20,2,60,40,89,47,26,9,7,85,28,28,0,57,57,0,41,25,16,16,0,94,11,33,6,15,3,14,12,30,4,0,18,8,0,8,5,3,12,12,0
"E01026814",2011,"Norwich 012E","Total",1128,170,36,0,36,134,89,36,9,0,154,107,77,11,19,0,35,12,117,51,49,13,4,119,18,18,0,101,101,0,87,51,36,31,5,174,32,67,22,28,0,21,4,134,13,16,61,44,0,36,17,19,137,137,0
"E01026815",2011,"Norwich 012F","Total",1166,367,49,2,47,318,198,42,76,2,381,299,222,16,58,3,67,15,73,42,18,13,0,110,28,26,2,82,81,1,50,30,20,20,0,44,14,17,2,2,0,9,0,27,1,0,14,12,0,7,5,2,107,107,0
"E01026816",2011,"Norwich 013A","Total",1439,215,25,0,25,190,83,81,12,14,419,293,243,31,14,5,86,40,167,88,51,26,2,149,50,50,0,99,99,0,72,40,32,24,8,195,67,79,9,17,4,13,6,120,1,5,50,64,0,56,29,27,46,46,0
"E01026817",2011,"Norwich 013B","Total",1044,126,34,4,30,92,53,18,21,0,164,106,79,11,14,2,36,22,112,65,31,2,14,110,17,17,0,93,93,0,105,81,24,24,0,201,49,75,5,47,0,18,7,141,5,22,41,71,2,72,40,32,13,13,0
"E01026818",2011,"Norwich 013C","Total",1229,76,14,0,14,62,36,21,2,3,197,123,94,14,15,0,55,19,109,59,24,20,6,153,37,37,0,116,114,2,155,88,67,66,1,214,53,91,18,38,6,8,0,244,33,22,109,80,0,69,41,28,12,12,0
"E01026819",2011,"Norwich 013D","Total",1245,75,30,0,30,45,14,27,1,3,214,114,88,14,12,0,67,33,119,67,37,11,4,102,12,12,0,90,90,0,128,74,54,52,2,252,59,129,12,32,3,6,11,262,19,20,88,131,4,79,53,26,14,14,0
"E01026820",2011,"Norwich 013E","Total",1350,68,14,0,14,54,26,18,7,3,233,126,97,15,14,0,73,34,114,60,32,16,6,140,20,20,0,120,120,0,147,67,80,74,6,286,98,94,16,58,2,10,8,244,31,15,102,94,2,102,60,42,16,16,0
"E01026821",2011,"Norwich 013F","Total",1151,59,13,0,13,46,25,18,1,2,174,93,67,15,11,0,60,21,120,54,45,12,9,130,25,25,0,105,101,4,101,61,40,37,3,237,58,80,42,30,0,27,0,265,39,21,93,112,0,56,28,28,9,9,0
"E01026822",2011,"Norwich 007A","Total",1562,233,24,0,24,209,125,67,11,6,319,211,148,21,32,10,76,32,167,98,52,14,3,116,19,19,0,97,97,0,120,95,25,25,0,230,55,115,17,28,3,2,10,150,24,6,19,97,4,100,50,50,127,127,0
"E01026823",2011,"Norwich 007B","Total",1556,312,29,0,29,283,151,90,32,10,334,201,154,18,25,4,102,31,168,95,52,18,3,151,46,46,0,105,104,1,110,79,31,31,0,194,55,97,4,25,0,8,5,123,30,13,30,48,2,50,24,26,114,114,0
"E01026824",2011,"Norwich 007C","Total",1205,136,16,0,16,120,83,26,11,0,205,138,109,24,4,1,47,20,120,55,32,20,13,66,9,9,0,57,57,0,104,57,47,45,2,222,86,77,25,26,0,4,4,204,29,11,65,94,5,59,23,36,89,89,0
"E01026825",2011,"Norwich 007D","Total",1117,110,18,0,18,92,52,29,9,2,263,179,142,15,17,5,59,25,109,66,25,15,3,119,23,23,0,96,96,0,96,41,55,50,5,145,61,44,9,20,0,9,2,132,24,12,37,59,0,60,33,27,83,83,0
"E01026826",2011,"Norwich 007E","Total",1151,68,9,0,9,59,22,30,1,6,208,130,107,7,15,1,62,16,123,59,47,16,1,118,42,42,0,76,76,0,103,75,28,25,3,199,64,100,3,17,3,12,0,207,28,10,64,105,0,98,44,54,27,27,0
"E01026827",2011,"Norwich 007F","Total",1116,74,7,0,7,67,46,17,2,2,159,104,86,7,10,1,35,20,107,51,29,13,14,96,22,22,0,74,72,2,93,51,42,39,3,234,74,98,13,23,0,19,7,203,21,12,56,114,0,101,51,50,49,49,0
"E01026828",2011,"Norwich 002A","Total",1521,58,15,0,15,43,24,12,4,3,168,93,82,8,3,0,60,15,169,80,50,27,12,112,38,38,0,74,74,0,178,112,66,55,11,274,88,93,12,40,7,30,4,419,34,44,154,187,0,112,52,60,31,31,0
"E01026829",2011,"Norwich 002B","Total",1864,137,22,0,22,115,69,43,3,0,301,187,130,35,17,5,89,25,197,96,67,15,19,163,27,27,0,136,135,1,199,85,114,99,15,359,133,141,15,42,10,14,4,306,55,13,71,159,8,160,71,89,42,42,0
"E01026830",2011,"Norwich 002C","Total",969,62,9,0,9,53,27,23,1,2,184,91,74,12,5,0,64,29,93,49,28,6,10,58,7,7,0,51,51,0,96,53,43,31,12,211,51,86,15,37,0,15,7,167,16,30,66,55,0,82,48,34,16,16,0
"E01026831",2011,"Norwich 002D","Total",1157,137,22,0,22,115,53,53,8,1,367,273,233,10,28,2,55,39,132,44,60,19,9,120,19,19,0,101,101,0,79,44,35,31,4,158,48,66,7,23,0,12,2,84,2,9,23,50,0,27,11,16,53,53,0
"E01026832",2011,"Norwich 002E","Total",1204,46,9,0,9,37,21,12,4,0,111,65,52,10,3,0,38,8,112,35,59,10,8,144,15,15,0,129,129,0,138,79,59,56,3,238,40,98,24,58,3,8,7,264,39,11,78,136,0,116,44,72,35,35,0
"E01026833",2011,"Norwich 002F","Total",1173,32,8,0,8,24,14,7,3,0,122,68,56,12,0,0,41,13,107,34,44,12,17,90,22,22,0,68,68,0,136,72,64,59,5,293,83,120,20,59,0,3,8,258,25,40,80,113,0,123,60,63,12,12,0
"E01026834",2011,"Norwich 002G","Total",1251,43,1,0,1,42,25,12,5,0,146,68,57,8,3,0,60,18,135,55,54,19,7,106,25,25,0,81,79,2,165,72,93,90,3,262,60,110,29,48,2,13,0,291,16,24,128,123,0,86,46,40,17,17,0
"E01026835",2011,"Norwich 009A","Total",1320,268,24,0,24,244,149,54,31,10,371,300,222,29,46,3,63,8,100,50,32,14,4,88,20,20,0,68,68,0,30,19,11,11,0,99,23,49,3,8,3,4,9,26,8,0,6,12,0,17,16,1,321,321,0
"E01026836",2011,"Norwich 009B","Total",1435,332,62,0,62,270,179,59,26,6,533,407,305,48,34,20,89,37,99,50,30,19,0,83,25,25,0,58,58,0,25,23,2,2,0,85,17,35,5,4,0,4,20,34,6,0,14,14,0,12,6,6,232,232,0
"E01026837",2011,"Norwich 009C","Total",1255,346,54,2,52,292,169,55,66,2,363,296,213,26,35,22,51,16,88,51,27,7,3,88,38,38,0,50,50,0,51,23,28,20,8,107,35,44,2,21,0,5,0,53,14,5,23,9,2,14,7,7,145,145,0
"E01026838",2011,"Norwich 009D","Total",1376,352,46,0,46,306,171,90,36,9,440,339,283,21,29,6,61,40,91,43,18,23,7,123,35,35,0,88,88,0,26,13,13,11,2,57,20,21,4,1,0,9,2,34,10,3,10,11,0,3,1,2,250,250,0
"E01026839",2011,"Norwich 009E","Total",1509,243,30,0,30,213,155,39,17,2,392,320,257,19,27,17,40,32,144,75,55,9,5,79,16,16,0,63,63,0,48,32,16,16,0,89,35,26,1,15,0,2,10,36,17,0,18,1,0,9,3,6,469,469,0
"E01026840",2011,"Norwich 009F","Total",1492,255,42,0,42,213,156,41,16,0,453,354,281,18,47,8,65,34,161,84,58,19,0,117,19,19,0,98,89,9,65,33,32,32,0,111,27,49,5,12,2,3,13,64,17,0,15,32,0,23,13,10,243,243,0
"E01026841",2011,"Norwich 003A","Total",1321,199,19,0,19,180,99,71,8,2,318,208,156,23,27,2,70,40,195,103,71,16,5,100,27,27,0,73,73,0,95,33,62,62,0,185,70,63,7,26,4,7,8,154,17,16,63,54,4,23,13,10,52,52,0
"E01026842",2011,"Norwich 003B","Total",1449,185,32,0,32,153,70,65,11,7,347,185,152,19,10,4,107,55,209,105,76,23,5,177,30,30,0,147,137,10,137,78,59,54,5,174,47,86,11,18,4,5,3,137,18,15,48,56,0,31,13,18,52,52,0
"E01026843",2011,"Norwich 003C","Total",1590,156,16,0,16,140,92,40,8,0,380,259,204,33,17,5,73,48,178,79,57,35,7,155,13,13,0,142,142,0,158,53,105,102,3,254,84,124,14,22,0,8,2,184,24,24,57,77,2,92,54,38,33,32,1
"E01026844",2011,"Norwich 003D","Total",1512,88,16,0,16,72,31,38,3,0,303,200,133,27,32,8,69,34,197,98,75,16,8,131,17,17,0,114,110,4,174,96,78,64,14,245,56,115,18,41,2,10,3,219,5,21,76,113,4,114,68,46,41,41,0
"E01026845",2011,"Norwich 003E","Total",1459,143,21,0,21,122,72,37,12,1,430,295,234,26,29,6,97,38,241,89,104,32,16,134,24,24,0,110,110,0,119,60,59,52,7,173,37,72,19,29,4,11,1,153,25,4,74,44,6,24,6,18,42,42,0
"E01026846",2011,"Norwich 003F","Total",1461,139,15,0,15,124,59,59,4,2,390,262,219,19,22,2,104,24,183,104,48,24,7,132,16,16,0,116,114,2,140,94,46,44,2,229,60,112,11,34,2,8,2,143,16,14,46,61,6,50,21,29,55,55,0
"E01026848",2011,"Norwich 015A","Total",1481,117,23,0,23,94,49,32,12,1,212,115,93,15,7,0,69,28,154,86,44,21,3,146,44,44,0,102,102,0,133,94,39,30,9,278,66,144,11,48,1,7,1,300,31,36,97,136,0,118,73,45,23,23,0
"E01026849",2011,"Norwich 015B","Total",1479,323,48,0,48,275,133,111,26,5,507,337,233,59,37,8,126,44,162,99,33,22,8,132,45,45,0,87,87,0,77,41,36,36,0,151,42,58,10,21,0,13,7,62,9,3,19,27,4,29,9,20,36,36,0
"E01026850",2011,"Norwich 015C","Total",1622,223,26,0,26,197,91,83,22,1,439,284,224,34,20,6,118,37,222,139,46,25,12,177,49,49,0,128,126,2,111,65,46,38,8,207,59,90,3,44,0,9,2,161,17,4,93,47,0,53,12,41,29,29,0
"E01026852",2011,"Norwich 011A","Total",977,312,67,0,67,245,159,57,28,1,324,250,206,23,17,4,54,20,99,67,18,12,2,93,21,21,0,72,70,2,39,14,25,24,1,50,12,22,2,2,1,2,9,33,7,0,14,12,0,12,6,6,15,15,0
"E01026853",2011,"Norwich 011B","Total",1382,231,39,0,39,192,75,104,10,3,288,207,158,36,9,4,51,30,140,78,47,14,1,120,37,37,0,83,83,0,116,63,53,51,2,203,78,79,5,30,1,6,4,169,20,11,62,76,0,87,43,44,28,26,2
"E01026855",2011,"Norwich 011D","Total",1334,246,28,0,28,218,115,73,29,1,368,279,231,18,25,5,61,28,132,87,34,11,0,139,45,45,0,94,94,0,59,40,19,19,0,111,45,49,1,9,0,5,2,76,10,6,35,25,0,23,9,14,180,180,0
"E01026856",2011,"Norwich 011E","Total",1681,297,22,0,22,275,201,55,14,5,445,376,289,32,45,10,57,12,151,76,52,20,3,81,21,21,0,60,60,0,64,39,25,22,3,108,41,43,2,8,0,7,7,81,15,1,24,37,4,41,25,16,413,413,0
"E01026857",2011,"Norwich 011F","Total",1109,287,48,0,48,239,148,41,39,11,298,213,151,25,34,3,69,16,86,43,31,7,5,114,29,29,0,85,81,4,24,18,6,6,0,58,17,21,4,11,0,0,5,52,15,4,9,20,4,9,4,5,181,181,0
"E01026858",2011,"Norwich 010A","Total",1117,77,7,0,7,70,67,2,1,0,145,100,72,8,20,0,16,29,78,29,29,15,5,76,2,2,0,74,72,2,95,56,39,36,3,210,69,84,6,36,1,6,8,161,14,17,56,74,0,70,25,45,205,205,0
"E01026859",2011,"Norwich 010B","Total",1418,179,28,0,28,151,107,29,6,9,287,175,147,4,24,0,81,31,90,41,33,10,6,106,8,8,0,98,98,0,144,83,61,61,0,189,57,82,23,20,1,6,0,192,30,38,38,86,0,60,32,28,171,171,0
"E01026860",2011,"Norwich 010C","Total",819,96,5,0,5,91,71,13,0,7,116,71,52,3,16,0,32,13,78,41,10,18,9,82,12,12,0,70,68,2,60,14,46,44,2,88,27,22,14,4,0,14,7,71,7,6,31,27,0,30,12,18,198,198,0
"E01026861",2011,"Norwich 010D","Total",1272,49,15,0,15,34,25,7,2,0,145,71,64,4,3,0,45,29,103,59,27,14,3,101,9,9,0,92,92,0,107,48,59,48,11,211,74,95,13,21,0,8,0,185,18,14,52,97,4,92,34,58,279,279,0
"E01026862",2011,"Norwich 010E","Total",1051,150,26,0,26,124,81,23,20,0,199,136,105,12,19,0,38,25,75,46,14,15,0,105,46,46,0,59,59,0,98,59,39,39,0,117,42,58,5,12,0,0,0,114,11,18,42,43,0,43,31,12,150,150,0
"E01026863",2011,"Norwich 006A","Total",1561,203,26,0,26,177,127,35,15,0,323,238,167,25,40,6,48,37,145,62,53,17,13,145,20,20,0,125,125,0,109,43,66,66,0,166,33,80,5,21,0,18,9,128,22,6,43,57,0,54,32,22,288,288,0
"E01026864",2011,"Norwich 006B","Total",1295,74,15,0,15,59,28,26,5,0,258,158,125,16,10,7,59,41,150,77,42,23,8,180,31,31,0,149,147,2,155,88,67,59,8,211,43,76,24,57,0,6,5,200,9,14,79,98,0,45,22,23,22,22,0
"E01026865",2011,"Norwich 006C","Total",1759,126,21,0,21,105,66,29,7,3,228,133,98,15,18,2,74,21,135,50,44,34,7,177,42,42,0,135,133,2,173,84,89,84,5,343,115,127,15,65,4,10,7,315,31,35,80,168,1,118,43,75,144,142,2
"E01026866",2011,"Norwich 006D","Total",1342,163,16,0,16,147,102,44,0,1,302,203,150,35,15,3,68,31,155,100,35,18,2,120,22,22,0,98,98,0,101,59,42,39,3,175,43,72,17,26,0,10,7,118,17,11,34,54,2,51,13,38,157,157,0
"E01026867",2011,"Norwich 006E","Total",1425,63,5,0,5,58,41,17,0,0,151,97,69,13,15,0,40,14,54,20,24,9,1,160,21,21,0,139,139,0,161,102,59,57,2,268,61,107,10,64,5,16,5,336,32,32,96,176,0,166,87,79,66,66,0
"E01026868",2011,"Norwich 006F","Total",1455,83,4,0,4,79,57,13,9,0,148,87,72,4,4,7,44,17,130,47,34,36,13,126,19,19,0,107,107,0,92,42,50,44,6,280,82,123,21,27,6,18,3,314,19,33,79,183,0,93,64,29,189,189,0
"E01026869",2011,"Norwich 006G","Total",1176,18,2,0,2,16,15,1,0,0,140,86,78,4,2,2,41,13,71,32,17,19,3,134,19,19,0,115,115,0,113,81,32,24,8,296,122,94,29,40,1,7,3,279,22,25,84,148,0,109,49,60,16,16,0
"E01033434",2011,"Norwich 011G","Total",970,236,14,0,14,222,127,62,15,18,301,198,141,29,24,4,79,24,109,57,19,26,7,58,24,24,0,34,34,0,43,22,21,21,0,75,26,24,2,8,0,8,7,52,11,0,12,25,4,17,10,7,79,79,0
"E01033435",2011,"Norwich 005G","Total",1770,359,30,0,30,329,230,73,21,5,393,263,228,21,12,2,100,30,127,60,53,12,2,109,20,20,0,89,89,0,115,56,59,49,10,151,17,82,8,29,3,9,3,116,16,9,25,66,0,39,15,24,361,360,1
"E01033436",2011,"Norwich 005H","Total",1149,117,25,0,25,92,63,27,2,0,131,83,63,15,2,3,29,19,93,44,24,15,10,62,8,8,0,54,48,6,89,51,38,29,9,207,73,66,17,33,0,11,7,230,11,10,80,124,5,90,39,51,130,130,0
"E01033437",2011,"Norwich 011H","Total",1085,111,20,0,20,91,51,21,14,5,192,139,101,14,23,1,34,19,96,54,23,15,4,81,8,8,0,73,73,0,81,54,27,23,4,200,48,101,8,27,1,8,7,143,31,16,22,70,4,93,38,55,88,87,1
"E01033438",2011,"Norwich 014A","Total",916,178,27,0,27,151,86,34,30,1,248,162,108,17,31,6,64,22,98,60,29,9,0,76,44,44,0,32,32,0,79,53,26,22,4,70,20,32,2,7,0,4,5,62,16,3,8,32,3,59,25,34,46,46,0
"E01033439",2011,"Norwich 014B","Total",1258,222,22,0,22,200,105,68,27,0,322,211,158,18,29,6,75,36,163,82,52,25,4,98,15,15,0,83,81,2,101,65,36,33,3,169,50,62,12,20,4,13,8,99,32,6,16,45,0,46,15,31,38,38,0
"E01033440",2011,"Norwich 014C","Total",1015,158,15,0,15,143,55,60,19,9,237,157,116,17,20,4,63,17,115,69,29,16,1,72,22,22,0,50,50,0,81,59,22,18,4,126,30,52,14,19,0,9,2,116,21,8,35,49,3,44,21,23,66,65,1
