"lsoa11cd","date","lsoa11nm","Rural Urban","Occupation: All categories: Occupation; measures: Value","Occupation: 1. Managers, directors and senior officials; measures: Value","Occupation: 11. Corporate managers and directors; measures: Value","Occupation: 111. Chief Executives and Senior Officials; measures: Value","Occupation: 112. Production Managers and Directors; measures: Value","Occupation: 113. Functional Managers and Directors; measures: Value","Occupation: 115. Financial Institution Managers and Directors; measures: Value","Occupation: 116. Managers and Directors in Transport and Logistics; measures: Value","Occupation: 117. Senior Officers in Protective Services; measures: Value","Occupation: 118. Health and Social Services Managers and Directors; measures: Value","Occupation: 119. Managers and Directors in Retail and Wholesale; measures: Value","Occupation: 12. Other managers and proprietors; measures: Value","Occupation: 121. Managers and Proprietors in Agriculture Related Services; measures: Value","Occupation: 122. Managers and Proprietors in Hospitality and Leisure Services; measures: Value","Occupation: 124. Managers and Proprietors in Health and Care Services; measures: Value","Occupation: 125. Managers and Proprietors in Other Services; measures: Value","Occupation: 2. Professional occupations; measures: Value","Occupation: 21. Science research, engineering and technology professionals; measures: Value","Occupation: 211. Natural and Social Science Professionals; measures: Value","Occupation: 212. Engineering Professionals; measures: Value","Occupation: 213. Information Technology and Telecommunications Professionals; measures: Value","Occupation: 214. Conservation and Environment Professionals; measures: Value","Occupation: 215. Research and Development Managers; measures: Value","Occupation: 22. Health professionals; measures: Value","Occupation: 221. Health Professionals; measures: Value","Occupation: 222. Therapy Professionals; measures: Value","Occupation: 223. Nursing and Midwifery Professionals; measures: Value","Occupation: 23. Teaching and educational professionals; measures: Value","Occupation: 231. Teaching and Educational Professionals; measures: Value","Occupation: 24. Business, media and public service professionals; measures: Value","Occupation: 241. Legal Professionals; measures: Value","Occupation: 242. Research and Administrative Professionals; measures: Value","Occupation: 243. Architects, Town Planners and Surveyors; measures: Value","Occupation: 244. Welfare Professionals; measures: Value","Occupation: 245. Librarians and Related Professionals; measures: Value","Occupation: 246. Quality and Regulatory Professionals; measures: Value","Occupation: 247. Media Professionals; measures: Value","Occupation: 3. Associate professional and technical occupations; measures: Value","Occupation: 31. Science, engineering and technology associate professionals; measures: Value","Occupation: 311. Science, Engineering and Production Technicians; measures: Value","Occupation: 312. Draughtspersons and Related Architectural Technicians; measures: Value","Occupation: 313. Information Technology Technicians; measures: Value","Occupation: 32. Health and social care associate professionals; measures: Value","Occupation: 321. Health Associate Professionals; measures: Value","Occupation: 323. Welfare and Housing Associate Professionals; measures: Value","Occupation: 33. Protective Service Occupations; measures: Value","Occupation: 331. Protective Service Occupations; measures: Value","Occupation: 34. Culture, media and sports occupations; measures: Value","Occupation: 341. Artistic, Literary and Media Occupations; measures: Value","Occupation: 342. Design Occupations; measures: Value","Occupation: 344. Sports and Fitness Occupations; measures: Value","Occupation: 35. Business and public service associate professionals; measures: Value","Occupation: 351. Transport Associate Professionals; measures: Value","Occupation: 352. Legal Associate Professionals; measures: Value","Occupation: 353. Business, Finance and Related Associate Professionals; measures: Value","Occupation: 354. Sales, Marketing and Related Associate Professionals; measures: Value","Occupation: 355. Conservation and Environmental associate professionals; measures: Value","Occupation: 356. Public Services and Other Associate Professionals; measures: Value","Occupation: 4. Administrative and secretarial occupations; measures: Value","Occupation: 41. Administrative occupations; measures: Value","Occupation: 411. Government and Related Organisations; measures: Value","Occupation: 412. Finance; measures: Value","Occupation: 413. Records; measures: Value","Occupation: 415. Other Administrative Occupations; measures: Value","Occupation: 416. Office Managers and Supervisors; measures: Value","Occupation: 42. Secretarial and related occupations; measures: Value","Occupation: 421. Secretarial and Related Occupations; measures: Value","Occupation: 5. Skilled trades occupations; measures: Value","Occupation: 51. Skilled agricultural and related trades; measures: Value","Occupation: 511. Agricultural and Related Trades; measures: Value","Occupation: 52. Skilled metal, electrical and electronic trades; measures: Value","Occupation: 521. Metal Forming, Welding and Related Trades; measures: Value","Occupation: 522. Metal Machining, Fitting and Instrument Making Trades; measures: Value","Occupation: 523. Vehicle Trades; measures: Value","Occupation: 524. Electrical and Electronic Trades; measures: Value","Occupation: 525. Skilled Metal, Electrical and Electronic Trades Supervisors; measures: Value","Occupation: 53. Skilled construction and building trades; measures: Value","Occupation: 531. Construction and Building Trades; measures: Value","Occupation: 532. Building Finishing Trades; measures: Value","Occupation: 533. Construction and Building Trades Supervisors; measures: Value","Occupation: 54. Textiles, printing and other skilled trades; measures: Value","Occupation: 541. Textiles and Garments Trades; measures: Value","Occupation: 542. Printing Trades; measures: Value","Occupation: 543. Food Preparation and Hospitality Trades; measures: Value","Occupation: 544. Other Skilled Trades; measures: Value","Occupation: 6. Caring, leisure and other service occupations; measures: Value","Occupation: 61. Caring personal service occupations; measures: Value","Occupation: 612. Childcare and Related Personal Services; measures: Value","Occupation: 613. Animal Care and Control Services; measures: Value","Occupation: 614. Caring Personal Services; measures: Value","Occupation: 62. Leisure, travel and related personal service occupations; measures: Value","Occupation: 621. Leisure and Travel Services; measures: Value","Occupation: 622. Hairdressers and Related Services; measures: Value","Occupation: 623. Housekeeping and Related Services; measures: Value","Occupation: 624. Cleaning and Housekeeping Managers and Supervisors; measures: Value","Occupation: 7. Sales and customer service occupations; measures: Value","Occupation: 71. Sales occupations; measures: Value","Occupation: 711. Sales Assistants and Retail Cashiers; measures: Value","Occupation: 712. Sales Related Occupations; measures: Value","Occupation: 713. Sales Supervisors; measures: Value","Occupation: 72. Customer service occupations; measures: Value","Occupation: 721. Customer Service Occupations; measures: Value","Occupation: 722. Customer Service Managers and Supervisors; measures: Value","Occupation: 8. Process, plant and machine operatives; measures: Value","Occupation: 81. Process, plant and machine operatives; measures: Value","Occupation: 811. Process Operatives; measures: Value","Occupation: 812. Plant and Machine Operatives; measures: Value","Occupation: 813. Assemblers and Routine Operatives; measures: Value","Occupation: 814. Construction Operatives; measures: Value","Occupation: 82. Transport and mobile machine drivers and operatives; measures: Value","Occupation: 821. Road Transport Drivers; measures: Value","Occupation: 822. Mobile Machine Drivers and Operatives; measures: Value","Occupation: 823. Other Drivers and Transport Operatives; measures: Value","Occupation: 9. Elementary occupations; measures: Value","Occupation: 91. Elementary trades and related occupations; measures: Value","Occupation: 911. Elementary Agricultural Occupations; measures: Value","Occupation: 912. Elementary Construction Occupations; measures: Value","Occupation: 913. Elementary Process Plant Occupations; measures: Value","Occupation: 92. Elementary administration and service occupations; measures: Value","Occupation: 921. Elementary Administration Occupations; measures: Value","Occupation: 923. Elementary Cleaning Occupations; measures: Value","Occupation: 924. Elementary Security Occupations; measures: Value","Occupation: 925. Elementary Sales Occupations; measures: Value","Occupation: 926. Elementary Storage Occupations; measures: Value","Occupation: 927. Other Elementary Services Occupations; measures: Value"
"E01026791",2011,"Norwich 005A","Total",611,27,18,0,5,2,0,1,0,1,9,9,0,3,1,5,72,15,6,2,6,0,1,38,7,1,30,10,10,9,0,7,0,2,0,0,0,39,9,7,0,2,5,3,2,2,2,7,4,2,1,16,0,0,4,6,0,6,46,35,7,9,4,12,3,11,11,76,4,4,18,0,8,2,7,1,30,24,6,0,24,2,3,16,3,69,53,10,0,43,16,5,3,6,2,86,68,60,2,6,18,15,3,69,39,25,7,5,2,30,26,3,1,127,22,1,4,17,105,7,39,10,9,13,27
"E01026792",2011,"Norwich 005B","Total",662,42,24,0,6,2,2,1,1,2,10,18,0,6,1,11,89,21,6,8,6,1,0,44,5,1,38,12,12,12,0,4,0,7,0,1,0,43,13,10,0,3,4,3,1,4,4,4,1,1,2,18,0,0,7,9,0,2,72,63,10,19,13,18,3,9,9,89,2,2,30,4,3,10,11,2,35,24,11,0,22,1,1,15,5,75,60,19,0,41,15,4,3,5,3,73,66,51,10,5,7,5,2,62,35,14,10,3,8,27,26,1,0,117,12,1,2,9,105,7,49,10,3,5,31
"E01026793",2011,"Norwich 005C","Total",638,23,13,0,3,1,3,2,0,1,3,10,1,5,1,3,70,16,5,3,6,2,0,23,11,0,12,16,16,15,0,12,2,1,0,0,0,39,6,6,0,0,3,3,0,5,5,5,2,0,3,20,0,0,5,10,0,5,39,32,4,2,14,11,1,7,7,82,3,3,27,3,7,7,10,0,28,25,3,0,24,1,2,17,4,96,80,20,3,57,16,2,6,3,5,72,62,52,3,7,10,10,0,82,43,14,10,8,11,39,32,5,2,135,23,0,8,15,112,9,51,12,5,8,27
"E01026794",2011,"Norwich 005D","Total",1081,72,48,0,10,6,3,7,2,2,18,24,1,12,1,10,182,55,12,17,22,4,0,64,19,5,40,37,37,26,1,11,7,1,2,2,2,117,17,8,0,9,9,1,8,13,13,20,11,6,3,58,0,2,19,24,0,13,107,74,12,13,22,23,4,33,33,133,7,7,46,8,10,9,16,3,46,33,10,3,34,1,6,24,3,131,110,38,3,69,21,2,7,5,7,109,85,74,2,9,24,21,3,91,52,20,16,9,7,39,30,8,1,139,21,3,5,13,118,11,39,13,10,10,35
"E01026796",2011,"Norwich 005F","Total",604,28,19,0,5,3,1,0,2,3,5,9,0,3,0,6,82,14,5,4,5,0,0,32,7,6,19,22,22,14,0,7,0,6,0,0,1,42,11,9,1,1,8,3,5,2,2,5,5,0,0,16,0,0,4,6,0,6,49,39,3,14,9,7,6,10,10,76,4,4,23,4,4,6,9,0,29,20,7,2,20,2,5,13,0,71,55,8,2,45,16,6,2,4,4,75,64,60,2,2,11,9,2,54,30,11,8,5,6,24,22,2,0,127,14,2,7,5,113,10,48,7,2,6,40
"E01026797",2011,"Norwich 001A","Total",1406,122,82,0,15,15,3,8,2,3,36,40,2,16,0,22,161,45,2,20,22,1,0,50,13,1,36,30,30,36,0,12,8,7,1,3,5,173,41,30,1,10,15,9,6,19,19,13,4,3,6,85,5,2,25,36,0,17,146,117,12,28,30,37,10,29,29,202,2,2,82,5,6,28,42,1,71,52,17,2,47,3,8,29,7,130,95,31,5,59,35,6,15,7,7,151,108,90,5,13,43,31,12,136,83,21,23,25,14,53,46,3,4,185,30,0,6,24,155,14,57,20,3,31,30
"E01026798",2011,"Norwich 001B","Total",685,39,23,0,1,1,1,1,2,3,14,16,0,7,1,8,50,15,1,5,7,2,0,15,3,3,9,15,15,5,0,2,1,1,0,1,0,28,7,5,0,2,2,0,2,4,4,2,2,0,0,13,0,0,6,5,0,2,51,37,4,11,13,7,2,14,14,114,3,3,36,4,7,15,10,0,45,36,9,0,30,1,4,24,1,79,61,15,0,46,18,3,6,3,6,95,82,70,6,6,13,10,3,92,37,17,8,5,7,55,44,8,3,137,11,0,3,8,126,11,46,11,4,20,34
"E01026799",2011,"Norwich 001C","Total",723,25,11,0,5,1,0,2,0,1,2,14,0,7,1,6,57,14,0,5,9,0,0,21,2,2,17,9,9,13,0,6,4,1,0,0,2,77,19,9,2,8,7,1,6,6,6,8,6,0,2,37,0,1,10,17,0,9,67,56,9,16,17,12,2,11,11,90,3,3,34,5,6,8,15,0,35,26,9,0,18,4,0,11,3,72,56,15,2,39,16,5,5,6,0,89,76,60,4,12,13,8,5,93,41,15,14,8,4,52,38,10,4,153,15,0,5,10,138,10,50,17,3,28,30
"E01026800",2011,"Norwich 001D","Total",879,52,34,1,6,4,0,2,0,4,17,18,0,11,0,7,101,31,5,13,11,1,1,22,6,4,12,27,27,21,0,14,0,4,0,0,3,81,17,10,1,6,4,1,3,7,7,10,6,3,1,43,0,0,14,17,1,11,55,45,6,14,12,10,3,10,10,127,7,7,39,6,8,9,15,1,38,27,9,2,43,2,3,32,6,104,85,19,2,64,19,4,5,1,9,110,91,74,6,11,19,18,1,86,47,12,12,17,6,39,32,7,0,163,20,1,6,13,143,12,58,13,3,21,36
"E01026801",2011,"Norwich 001E","Total",813,82,51,1,10,12,7,2,1,5,13,31,1,6,4,20,121,27,4,7,13,1,2,27,3,4,20,33,33,34,5,13,5,6,1,0,4,90,23,14,3,6,8,1,7,10,10,10,8,1,1,39,0,1,10,19,0,9,103,83,21,19,12,26,5,20,20,98,4,4,37,3,6,10,16,2,31,24,7,0,26,1,6,15,4,70,56,21,0,35,14,6,7,0,1,77,58,51,6,1,19,13,6,74,42,15,13,10,4,32,25,2,5,98,11,1,3,7,87,13,20,11,4,14,25
"E01026802",2011,"Norwich 001F","Total",794,43,25,0,5,9,1,4,0,0,6,18,0,7,0,11,101,29,1,15,12,1,0,28,8,1,19,23,23,21,2,10,3,6,0,0,0,84,16,9,1,6,6,1,5,4,4,14,9,3,2,44,0,3,15,16,0,10,104,84,12,20,22,21,9,20,20,93,3,3,33,2,5,13,13,0,30,24,6,0,27,3,2,20,2,91,62,15,2,45,29,3,12,6,8,100,80,68,5,7,20,16,4,57,19,6,5,5,3,38,31,3,4,121,22,2,7,13,99,14,23,14,5,16,27
"E01026803",2011,"Norwich 004A","Total",534,25,18,0,4,0,1,2,0,1,10,7,0,2,0,5,37,14,2,7,5,0,0,9,1,1,7,6,6,8,0,2,1,4,0,0,1,33,9,2,2,5,2,0,2,4,4,6,4,1,1,12,0,0,5,4,0,3,46,36,4,6,11,14,1,10,10,75,3,3,20,2,2,9,4,3,31,27,3,1,21,3,2,14,2,65,53,19,0,34,12,0,8,3,1,85,68,54,4,10,17,15,2,67,27,13,7,6,1,40,32,4,4,101,13,1,4,8,88,9,25,6,4,16,28
