"lsoa11cd","date","lsoa11nm","Rural Urban","Year Last Worked: All categories: Year last worked; measures: Value","Year Last Worked: In employment; measures: Value","Year Last Worked: Not in employment: Total; measures: Value","Year Last Worked: Last worked in 2011; measures: Value","Year Last Worked: Last worked in 2010; measures: Value","Year Last Worked: Last worked in 2009; measures: Value","Year Last Worked: Last worked in 2008; measures: Value","Year Last Worked: Last worked in 2007; measures: Value","Year Last Worked: Last worked in 2006; measures: Value","Year Last Worked: Last worked in 2001 - 2005; measures: Value","Year Last Worked: Last worked before 2001; measures: Value","Year Last Worked: Never worked; measures: Value"
"E01026858",2011,"Norwich 010A","Total",1069,496,573,32,75,42,40,21,15,80,139,129
"E01026859",2011,"Norwich 010B","Total",1104,634,470,22,79,36,31,18,28,50,92,114
"E01026860",2011,"Norwich 010C","Total",4026,876,3150,206,1084,181,79,24,19,51,61,1445
"E01026861",2011,"Norwich 010D","Total",1143,555,588,39,99,44,35,20,29,60,94,168
"E01026862",2011,"Norwich 010E","Total",952,574,378,24,70,24,22,11,11,53,69,94
"E01026863",2011,"Norwich 006A","Total",1471,908,563,40,124,63,25,24,16,65,100,106
"E01026864",2011,"Norwich 006B","Total",1121,781,340,12,40,32,17,22,19,56,88,54
"E01026865",2011,"Norwich 006C","Total",1395,810,585,21,94,52,30,21,25,84,125,133
"E01026866",2011,"Norwich 006D","Total",1265,842,423,16,94,37,40,17,19,55,70,75
"E01026867",2011,"Norwich 006E","Total",1077,575,502,15,68,33,20,34,19,59,104,150
"E01026868",2011,"Norwich 006F","Total",1140,607,533,25,75,43,31,24,27,65,90,153
"E01026869",2011,"Norwich 006G","Total",1006,513,493,14,59,37,35,31,27,75,125,90
"E01033434",2011,"Norwich 011G","Total",926,712,214,22,42,20,8,10,9,28,40,35
"E01033435",2011,"Norwich 005G","Total",1394,891,503,26,116,46,30,19,14,44,43,165
"E01033436",2011,"Norwich 005H","Total",999,530,469,20,65,50,26,19,14,64,107,104
"E01033437",2011,"Norwich 011H","Total",1060,552,508,21,70,46,31,16,14,74,136,100
"E01033438",2011,"Norwich 014A","Total",1006,621,385,21,54,25,32,28,17,52,91,65
"E01033439",2011,"Norwich 014B","Total",1209,930,279,29,56,29,18,18,8,26,48,47
"E01033440",2011,"Norwich 014C","Total",950,667,283,10,37,25,23,18,9,40,58,63
"E01033441",2011,"Norwich 014D","Total",1106,846,260,12,38,21,18,14,14,26,44,73
