"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Dwelling type; measures: Value","Dwelling Type: Unshared dwelling; measures: Value","Dwelling Type: Shared dwelling: Two household spaces; measures: Value","Dwelling Type: Shared dwelling: Three or more household spaces; measures: Value","Dwelling Type: All categories: Household spaces; measures: Value","Dwelling Type: Household spaces with at least one usual resident; measures: Value","Dwelling Type: Household spaces with no usual residents; measures: Value","Dwelling Type: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Flat, maisonette or apartment: In a commercial building; measures: Value","Dwelling Type: Caravan or other mobile or temporary structure; measures: Value"
"E01026848",2011,"Norwich 015A","Total",1039,1039,0,0,1039,1015,24,13,92,162,752,14,6,0
"E01026849",2011,"Norwich 015B","Total",954,950,0,4,969,913,56,216,80,160,439,70,4,0
"E01026850",2011,"Norwich 015C","Total",991,991,0,0,991,952,39,61,97,523,269,32,9,0
"E01026852",2011,"Norwich 011A","Total",621,621,0,0,621,598,23,121,269,42,156,32,1,0
"E01026853",2011,"Norwich 011B","Total",1034,1034,0,0,1034,1011,23,29,86,274,595,34,16,0
"E01026855",2011,"Norwich 011D","Total",793,791,0,2,815,773,42,75,90,416,146,79,9,0
"E01026856",2011,"Norwich 011E","Total",896,891,1,4,917,847,70,17,59,604,120,108,9,0
"E01026857",2011,"Norwich 011F","Total",778,777,1,0,779,751,28,131,127,329,153,35,4,0
"E01026858",2011,"Norwich 010A","Total",762,762,0,0,762,745,17,23,146,187,393,10,3,0
"E01026859",2011,"Norwich 010B","Total",656,656,0,0,656,640,16,144,336,71,90,5,10,0
"E01026860",2011,"Norwich 010C","Total",493,493,0,0,493,470,23,128,102,115,138,9,0,1
"E01026861",2011,"Norwich 010D","Total",575,574,1,0,576,549,27,31,329,166,40,10,0,0
"E01026862",2011,"Norwich 010E","Total",513,513,0,0,513,497,16,116,242,143,9,3,0,0
"E01026863",2011,"Norwich 006A","Total",814,814,0,0,814,771,43,135,259,287,116,13,2,2
"E01026864",2011,"Norwich 006B","Total",671,670,1,0,672,657,15,146,212,218,86,9,1,0
"E01026865",2011,"Norwich 006C","Total",824,824,0,0,824,805,19,55,260,324,174,10,1,0
"E01026866",2011,"Norwich 006D","Total",830,830,0,0,830,767,63,36,159,464,152,19,0,0
"E01026867",2011,"Norwich 006E","Total",574,574,0,0,574,562,12,43,293,157,69,9,2,1
"E01026868",2011,"Norwich 006F","Total",589,588,1,0,590,565,25,88,240,202,48,9,2,1
"E01026869",2011,"Norwich 006G","Total",681,681,0,0,681,657,24,23,120,264,269,4,1,0
"E01033434",2011,"Norwich 011G","Total",660,660,0,0,660,615,45,16,37,185,409,8,5,0
"E01033435",2011,"Norwich 005G","Total",746,746,0,0,746,705,41,289,265,118,69,5,0,0
"E01033436",2011,"Norwich 005H","Total",625,625,0,0,625,596,29,70,227,122,196,10,0,0
"E01033437",2011,"Norwich 011H","Total",825,825,0,0,825,786,39,16,32,118,630,23,6,0
"E01033438",2011,"Norwich 014A","Total",1007,1003,1,3,1018,878,140,34,67,213,559,89,56,0
"E01033439",2011,"Norwich 014B","Total",790,774,1,15,850,763,87,14,47,353,205,223,7,1
"E01033440",2011,"Norwich 014C","Total",723,723,0,0,723,662,61,11,18,69,592,25,8,0
"E01033441",2011,"Norwich 014D","Total",934,934,0,0,934,773,161,11,30,131,737,19,3,3
