"lsoa11cd","date","lsoa11nm","Rural Urban","Economic Activity: All categories: Economic activity; measures: Value","Economic Activity: Economically active: Total; measures: Value","Economic Activity: Economically active: Employee: Part-time; measures: Value","Economic Activity: Economically active: Employee: Full-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed with employees: Full-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Part-time; measures: Value","Economic Activity: Economically active: Self-employed without employees: Full-time; measures: Value","Economic Activity: Economically active: Unemployed; measures: Value","Economic Activity: Economically active: Full-time student; measures: Value","Economic Activity: Economically inactive: Total; measures: Value","Economic Activity: Economically inactive: Retired; measures: Value","Economic Activity: Economically inactive: Student (including full-time students); measures: Value","Economic Activity: Economically inactive: Looking after home or family; measures: Value","Economic Activity: Economically inactive: Long-term sick or disabled; measures: Value","Economic Activity: Economically inactive: Other; measures: Value"
"E01026842",2011,"Norwich 003B","Total",1353,1093,182,691,3,16,39,74,47,41,260,111,55,38,40,16
"E01026843",2011,"Norwich 003C","Total",1426,1045,218,601,4,6,33,74,76,33,381,162,56,63,79,21
"E01026844",2011,"Norwich 003D","Total",1289,906,193,535,0,7,20,48,78,25,383,132,57,81,81,32
"E01026845",2011,"Norwich 003E","Total",1297,1102,180,728,6,11,28,70,47,32,195,64,49,33,25,24
"E01026846",2011,"Norwich 003F","Total",1333,1066,198,641,4,16,26,59,75,47,267,83,66,35,51,32
"E01026848",2011,"Norwich 015A","Total",1366,881,169,511,4,12,16,47,97,25,485,158,50,83,144,50
"E01026849",2011,"Norwich 015B","Total",1463,1155,155,740,4,35,40,70,66,45,308,161,32,28,56,31
"E01026850",2011,"Norwich 015C","Total",1470,1182,161,772,5,32,37,79,77,19,288,120,39,61,49,19
"E01026852",2011,"Norwich 011A","Total",924,696,156,386,7,16,36,44,16,35,228,148,32,26,9,13
"E01026853",2011,"Norwich 011B","Total",1342,921,192,552,0,15,27,41,62,32,421,175,37,48,132,29
"E01026855",2011,"Norwich 011D","Total",1286,947,163,523,4,27,35,53,42,100,339,130,148,31,21,9
"E01026856",2011,"Norwich 011E","Total",1566,1093,162,579,3,17,36,55,53,188,473,87,309,32,29,16
"E01026857",2011,"Norwich 011F","Total",1122,731,122,362,3,23,47,56,25,93,391,181,146,31,22,11
"E01026858",2011,"Norwich 010A","Total",1069,568,136,259,0,2,10,30,59,72,501,162,189,51,74,25
"E01026859",2011,"Norwich 010B","Total",1104,701,160,337,0,6,27,37,50,84,403,97,145,73,62,26
"E01026860",2011,"Norwich 010C","Total",4026,1292,120,200,1,3,14,36,37,881,2734,102,2542,40,33,17
"E01026861",2011,"Norwich 010D","Total",1143,642,158,251,2,5,11,34,61,120,501,107,240,61,69,24
"E01026862",2011,"Norwich 010E","Total",952,620,133,277,2,16,11,38,32,111,332,119,129,42,25,17
"E01026863",2011,"Norwich 006A","Total",1471,994,173,511,3,16,24,64,55,148,477,144,215,54,46,18
"E01026864",2011,"Norwich 006B","Total",1121,830,175,458,1,12,24,75,45,40,291,134,38,62,35,22
"E01026865",2011,"Norwich 006C","Total",1395,937,198,463,5,10,16,47,109,89,458,110,123,82,101,42
"E01026866",2011,"Norwich 006D","Total",1265,913,157,527,2,8,27,46,56,90,352,119,130,32,51,20
"E01026867",2011,"Norwich 006E","Total",1077,663,168,309,1,10,17,34,78,46,414,84,108,106,81,35
"E01026868",2011,"Norwich 006F","Total",1140,682,168,298,2,11,25,33,66,79,458,94,161,104,72,27
"E01026869",2011,"Norwich 006G","Total",1006,610,164,285,2,4,13,31,91,20,396,141,46,72,103,34
"E01033434",2011,"Norwich 011G","Total",926,744,67,515,7,18,20,52,23,42,182,71,72,14,12,13
"E01033435",2011,"Norwich 005G","Total",1394,946,160,582,1,13,12,44,41,93,448,47,282,61,38,20
"E01033436",2011,"Norwich 005H","Total",999,601,141,303,2,2,4,21,65,63,398,122,104,75,78,19
"E01033437",2011,"Norwich 011H","Total",1060,648,155,296,0,8,31,29,85,44,412,137,78,41,130,26
"E01033438",2011,"Norwich 014A","Total",1006,682,108,401,3,24,24,43,58,21,324,163,65,20,46,30
"E01033439",2011,"Norwich 014B","Total",1209,1007,132,669,3,15,24,56,75,33,202,71,36,29,41,25
"E01033440",2011,"Norwich 014C","Total",950,735,120,449,0,16,14,48,59,29,215,42,49,25,78,21
"E01033441",2011,"Norwich 014D","Total",1106,897,84,647,4,20,11,63,44,24,209,66,63,32,32,16
