"lsoa11cd","date","lsoa11nm","Rural Urban","Country of Birth: All categories: Country of birth; measures: Value","Country of Birth: Europe: Total; measures: Value","Country of Birth: Europe: United Kingdom: Total; measures: Value","Country of Birth: Europe: United Kingdom: England; measures: Value","Country of Birth: Europe: United Kingdom: Northern Ireland; measures: Value","Country of Birth: Europe: United Kingdom: Scotland; measures: Value","Country of Birth: Europe: United Kingdom: Wales; measures: Value","Country of Birth: Europe: Great Britain not otherwise specified; measures: Value","Country of Birth: Europe: United Kingdom not otherwise specified; measures: Value","Country of Birth: Europe: Guernsey; measures: Value","Country of Birth: Europe: Jersey; measures: Value","Country of Birth: Europe: Channel Islands not otherwise specified; measures: Value","Country of Birth: Europe: Isle of Man; measures: Value","Country of Birth: Europe: Ireland; measures: Value","Country of Birth: Europe: Other Europe: Total; measures: Value","Country of Birth: Europe: Other Europe: EU Countries: Total; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Total; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: France; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Germany; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Italy; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Portugal; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Spain (including Canary Islands); measures: Value","Country of Birth: Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Total; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Lithuania; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Romania; measures: Value","Country of Birth: Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries; measures: Value","Country of Birth: Europe: Other Europe: Rest of Europe: Total; measures: Value","Country of Birth: Europe: Other Europe: Rest of Europe: Turkey; measures: Value","Country of Birth: Europe: Other Europe: Rest of Europe: Other Europe; measures: Value","Country of Birth: Africa: Total; measures: Value","Country of Birth: Africa: North Africa; measures: Value","Country of Birth: Africa: Central and Western Africa: Total; measures: Value","Country of Birth: Africa: Central and Western Africa: Ghana; measures: Value","Country of Birth: Africa: Central and Western Africa: Nigeria; measures: Value","Country of Birth: Africa: Central and Western Africa: Other Central and Western Africa; measures: Value","Country of Birth: Africa: South and Eastern Africa: Total; measures: Value","Country of Birth: Africa: South and Eastern Africa: Kenya; measures: Value","Country of Birth: Africa: South and Eastern Africa: Somalia; measures: Value","Country of Birth: Africa: South and Eastern Africa: South Africa; measures: Value","Country of Birth: Africa: South and Eastern Africa: Zimbabwe; measures: Value","Country of Birth: Africa: South and Eastern Africa: Other South and Eastern Africa; measures: Value","Country of Birth: Africa: Africa not otherwise specified; measures: Value","Country of Birth: Middle East and Asia: Total; measures: Value","Country of Birth: Middle East and Asia: Middle East: Total; measures: Value","Country of Birth: Middle East and Asia: Middle East: Iran; measures: Value","Country of Birth: Middle East and Asia: Middle East: Other Middle East; measures: Value","Country of Birth: Middle East and Asia: Eastern Asia: Total; measures: Value","Country of Birth: Middle East and Asia: Eastern Asia: China; measures: Value","Country of Birth: Middle East and Asia: Eastern Asia: Hong Kong (Special Administrative Region of China); measures: Value","Country of Birth: Middle East and Asia: Eastern Asia: Other Eastern Asia; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: Total; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: Bangladesh; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: India; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: Pakistan; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: Sri Lanka; measures: Value","Country of Birth: Middle East and Asia: Southern Asia: Other Southern Asia; measures: Value","Country of Birth: Middle East and Asia: South-East Asia: Total; measures: Value","Country of Birth: Middle East and Asia: South-East Asia: Philippines; measures: Value","Country of Birth: Middle East and Asia: South-East Asia: Other South-East Asia; measures: Value","Country of Birth: Middle East and Asia: Central Asia; measures: Value","Country of Birth: The Americas and the Caribbean: Total; measures: Value","Country of Birth: The Americas and the Caribbean: North America: Total; measures: Value","Country of Birth: The Americas and the Caribbean: North America: United States; measures: Value","Country of Birth: The Americas and the Caribbean: North America: Other North America; measures: Value","Country of Birth: The Americas and the Caribbean: Central America; measures: Value","Country of Birth: The Americas and the Caribbean: South America; measures: Value","Country of Birth: The Americas and the Caribbean: The Caribbean: Total; measures: Value","Country of Birth: The Americas and the Caribbean: The Caribbean: Jamaica; measures: Value","Country of Birth: The Americas and the Caribbean: The Caribbean: Other Caribbean; measures: Value","Country of Birth: Antarctica and Oceania: Total; measures: Value","Country of Birth: Antarctica and Oceania: Antarctica; measures: Value","Country of Birth: Antarctica and Oceania: Australasia: Total; measures: Value","Country of Birth: Antarctica and Oceania: Australasia: Australia; measures: Value","Country of Birth: Antarctica and Oceania: Australasia: Other Australasia; measures: Value","Country of Birth: Antarctica and Oceania: Other Oceania; measures: Value","Country of Birth: Other; measures: Value"
"E01026806",2011,"Norwich 004D","Total",1503,1448,1404,1377,4,16,7,0,0,0,0,1,0,7,36,30,24,1,9,0,6,3,5,6,3,0,0,3,6,3,3,11,0,3,0,2,1,8,2,0,4,1,1,0,35,2,0,2,3,2,1,0,6,3,2,0,1,0,24,14,10,0,7,3,2,1,0,0,4,1,3,2,0,2,2,0,0,0
"E01026807",2011,"Norwich 004E","Total",1252,1198,1149,1126,3,17,3,0,0,0,0,0,0,7,42,41,18,0,10,1,2,2,3,23,5,13,3,2,1,1,0,16,3,8,2,6,0,4,2,0,1,1,0,1,25,4,0,4,7,7,0,0,5,0,5,0,0,0,9,2,7,0,11,6,3,3,0,2,3,2,1,2,0,1,0,1,1,0
"E01026808",2011,"Norwich 004F","Total",1320,1282,1215,1198,2,11,4,0,0,0,0,0,0,2,65,55,18,0,7,0,9,2,0,37,11,7,1,18,10,5,5,18,2,3,0,0,3,13,2,0,2,6,3,0,13,0,0,0,1,0,1,0,6,6,0,0,0,0,6,6,0,0,1,1,1,0,0,0,0,0,0,6,0,6,4,2,0,0
"E01026809",2011,"Norwich 004G","Total",1492,1465,1428,1408,3,12,5,0,0,0,0,0,0,4,33,29,11,0,9,2,0,0,0,18,2,6,4,6,4,2,2,9,2,3,0,1,2,3,0,0,1,2,0,1,10,2,0,2,2,2,0,0,0,0,0,0,0,0,6,3,3,0,4,2,1,1,0,1,1,0,1,4,0,4,4,0,0,0
"E01026810",2011,"Norwich 012A","Total",1389,1292,1247,1207,7,23,10,0,0,0,0,0,0,11,34,29,20,3,6,0,4,1,6,9,1,1,1,6,5,2,3,25,6,0,0,0,0,19,2,0,13,1,3,0,60,2,0,2,16,11,2,3,29,0,19,3,5,2,13,4,9,0,6,5,4,1,0,0,1,0,1,6,0,6,5,1,0,0
"E01026811",2011,"Norwich 012B","Total",1544,1471,1395,1325,9,43,18,0,0,1,1,0,0,12,62,58,44,5,10,3,2,1,23,14,0,8,0,6,4,0,4,16,1,2,0,2,0,13,2,0,6,1,4,0,39,2,0,2,6,5,1,0,28,0,26,0,2,0,3,2,1,0,13,8,5,3,2,0,3,3,0,5,0,5,4,1,0,0
"E01026812",2011,"Norwich 012C","Total",1425,1302,1246,1191,4,29,22,0,0,0,1,0,0,8,47,42,30,4,7,6,3,1,9,12,5,1,0,6,5,0,5,40,4,8,4,2,2,28,3,0,5,10,10,0,61,12,5,7,9,4,4,1,33,0,27,2,4,0,6,1,5,1,15,8,5,3,0,5,2,1,1,7,0,6,4,2,1,0
"E01026813",2011,"Norwich 012D","Total",1426,1322,1270,1188,10,44,28,0,0,1,0,0,0,6,45,42,22,4,6,4,2,1,5,20,3,2,3,12,3,0,3,20,4,2,0,2,0,13,5,0,3,1,4,1,74,9,5,4,7,0,5,2,48,0,40,6,2,0,10,6,4,0,7,5,5,0,0,1,1,0,1,3,0,2,0,2,1,0
"E01026814",2011,"Norwich 012E","Total",1522,1436,1367,1332,7,18,10,0,0,0,1,0,0,7,61,53,28,2,13,7,0,1,5,25,3,5,0,17,8,2,6,10,2,6,0,0,6,1,0,0,0,1,0,1,63,10,2,8,13,9,1,3,21,6,7,7,1,0,19,7,12,0,12,3,2,1,0,7,2,0,2,1,0,0,0,0,1,0
"E01026815",2011,"Norwich 012F","Total",1475,1341,1270,1206,6,36,22,0,0,1,0,0,1,16,53,47,27,5,8,2,2,4,6,20,1,8,0,11,6,2,4,33,1,8,0,8,0,24,2,0,6,4,12,0,71,10,3,7,17,14,2,1,25,1,22,0,1,1,17,4,13,2,22,12,10,2,0,7,3,0,3,8,0,8,4,4,0,0
"E01026816",2011,"Norwich 013A","Total",1741,1612,1503,1455,4,32,12,0,0,1,0,1,0,7,100,87,46,10,8,5,3,6,14,41,7,21,0,13,13,0,13,37,3,15,2,1,12,19,0,0,9,6,4,0,64,4,1,3,5,4,0,1,49,13,33,1,2,0,6,2,4,0,21,8,5,3,1,6,6,1,5,7,0,7,6,1,0,0
"E01026817",2011,"Norwich 013B","Total",1415,1356,1293,1244,7,26,14,0,2,0,1,0,0,3,59,55,26,2,11,2,1,4,6,29,11,7,5,6,4,1,3,21,4,5,1,1,3,12,1,0,3,1,7,0,29,2,0,2,1,0,0,1,17,1,6,5,4,1,8,1,7,1,6,3,2,1,0,2,1,0,1,3,0,3,2,1,0,0
"E01026818",2011,"Norwich 013C","Total",1462,1398,1337,1310,8,13,6,0,0,0,0,0,0,6,55,50,22,0,12,5,0,1,4,28,1,16,1,10,5,3,2,27,0,5,0,0,5,22,0,0,16,6,0,0,27,0,0,0,4,4,0,0,12,3,6,0,3,0,11,7,4,0,9,3,3,0,0,2,4,0,4,1,0,1,0,1,0,0
"E01026819",2011,"Norwich 013D","Total",1439,1371,1320,1294,4,17,5,0,0,0,0,0,0,3,48,36,17,0,8,4,3,0,2,19,1,12,1,5,12,3,9,18,0,7,1,0,6,10,0,0,3,7,0,1,35,3,0,3,2,0,2,0,17,6,11,0,0,0,13,10,3,0,15,14,9,5,0,0,1,1,0,0,0,0,0,0,0,0
