"lsoa11cd","date","lsoa11nm","Rural Urban","Household Type: All categories: Household type; measures: Value","Household Type: One person household; measures: Value","Household Type: Married couple household: With dependent children; measures: Value","Household Type: Married couple household: No dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: With dependent children; measures: Value","Household Type: Same-sex civil partnership couple household: No dependent children; measures: Value","Household Type: Cohabiting couple household: With dependent children; measures: Value","Household Type: Cohabiting couple household: No dependent children; measures: Value","Household Type: Lone parent household: With dependent children; measures: Value","Household Type: Lone parent household: No dependent children; measures: Value","Household Type: Multi-person household: All full-time students; measures: Value","Household Type: Multi-person household: Other; measures: Value"
"E01026858",2011,"Norwich 010A","Total",745,323,54,129,0,0,34,44,65,33,45,18
"E01026859",2011,"Norwich 010B","Total",640,154,104,130,0,0,47,34,92,22,36,21
"E01026860",2011,"Norwich 010C","Total",470,152,51,130,0,0,14,31,20,18,40,14
"E01026861",2011,"Norwich 010D","Total",549,105,64,139,0,0,43,18,69,27,62,22
"E01026862",2011,"Norwich 010E","Total",497,122,86,120,0,0,23,20,45,26,33,22
"E01026863",2011,"Norwich 006A","Total",771,215,85,175,0,1,29,79,50,21,58,58
"E01026864",2011,"Norwich 006B","Total",657,169,91,200,0,0,37,44,72,21,3,20
"E01026865",2011,"Norwich 006C","Total",805,236,99,129,1,0,72,68,106,29,32,33
"E01026866",2011,"Norwich 006D","Total",767,293,70,136,0,0,16,71,52,23,34,72
"E01026867",2011,"Norwich 006E","Total",562,136,76,112,0,1,67,29,77,21,12,31
"E01026868",2011,"Norwich 006F","Total",565,119,82,96,0,3,58,29,89,28,30,31
"E01026869",2011,"Norwich 006G","Total",657,264,77,116,1,1,45,23,84,26,4,16
"E01033434",2011,"Norwich 011G","Total",615,311,43,63,0,0,10,90,25,14,15,44
"E01033435",2011,"Norwich 005G","Total",705,144,152,105,0,1,41,87,61,21,57,36
"E01033436",2011,"Norwich 005H","Total",596,187,75,135,0,0,32,47,63,27,21,9
"E01033437",2011,"Norwich 011H","Total",786,460,46,81,0,0,20,47,66,25,13,28
"E01033438",2011,"Norwich 014A","Total",878,557,41,104,0,4,9,77,16,9,7,54
"E01033439",2011,"Norwich 014B","Total",763,366,38,97,0,0,25,142,23,15,3,54
"E01033440",2011,"Norwich 014C","Total",662,377,37,59,0,4,18,74,22,11,11,49
"E01033441",2011,"Norwich 014D","Total",773,428,27,73,0,4,12,123,26,7,9,64
