"lsoa11cd","date","lsoa11nm","Rural Urban","Central Heating: All categories: Type of central heating in household; measures: Value","Central Heating: Does not have central heating; measures: Value","Central Heating: Does have central heating; measures: Value","Central Heating: Occupancy rating (rooms) of -1 or less; measures: Value","Central Heating: Occupancy rating (bedrooms) of -1 or less; measures: Value","Central Heating: Average household size; measures: Value","Central Heating: Average number of rooms per household; measures: Value","Central Heating: Average number of bedrooms per household; measures: Value"
"E01026865",2011,"Norwich 006C","Total",805,18,787,70,38,2.4,4.7,2.5
"E01026866",2011,"Norwich 006D","Total",767,26,741,37,18,2.1,5.3,2.6
"E01026867",2011,"Norwich 006E","Total",562,15,547,48,23,2.8,5.4,3
"E01026868",2011,"Norwich 006F","Total",565,5,560,50,20,2.9,5.4,3
"E01026869",2011,"Norwich 006G","Total",657,10,647,30,15,2.1,4.7,2.4
"E01033434",2011,"Norwich 011G","Total",615,34,581,168,17,1.7,4.1,2.1
"E01033435",2011,"Norwich 005G","Total",705,2,703,43,25,2.6,5.4,2.9
"E01033436",2011,"Norwich 005H","Total",596,10,586,32,23,2.3,4.8,2.5
"E01033437",2011,"Norwich 011H","Total",786,10,776,93,30,1.7,4.3,2.1
"E01033438",2011,"Norwich 014A","Total",878,37,841,164,23,1.5,4.1,1.9
"E01033439",2011,"Norwich 014B","Total",763,63,700,170,22,1.8,4.4,2.2
"E01033440",2011,"Norwich 014C","Total",662,30,632,142,15,1.6,3.8,1.9
"E01033441",2011,"Norwich 014D","Total",773,18,755,198,20,1.6,3.6,1.9
