"lsoa11cd","date","lsoa11nm","Rural Urban","Qualification: All categories: Highest level of qualification; measures: Value","Qualification: No qualifications; measures: Value","Qualification: Level 1 qualifications; measures: Value","Qualification: Level 2 qualifications; measures: Value","Qualification: Apprenticeship; measures: Value","Qualification: Level 3 qualifications; measures: Value","Qualification: Level 4 qualifications and above; measures: Value","Qualification: Other qualifications; measures: Value"
"E01026863",2011,"Norwich 006A","Total",1570,223,169,199,49,353,500,77
"E01026864",2011,"Norwich 006B","Total",1226,302,216,208,53,157,224,66
"E01026865",2011,"Norwich 006C","Total",1492,452,239,209,26,200,287,79
"E01026866",2011,"Norwich 006D","Total",1365,247,140,179,54,232,452,61
"E01026867",2011,"Norwich 006E","Total",1154,445,189,163,31,144,125,57
"E01026868",2011,"Norwich 006F","Total",1182,389,167,174,20,192,184,56
"E01026869",2011,"Norwich 006G","Total",1075,434,209,180,26,68,104,54
"E01033434",2011,"Norwich 011G","Total",976,75,79,104,20,144,505,49
"E01033435",2011,"Norwich 005G","Total",1423,152,151,160,26,272,593,69
"E01033436",2011,"Norwich 005H","Total",1119,375,168,157,32,154,177,56
"E01033437",2011,"Norwich 011H","Total",1202,326,170,156,37,149,303,61
"E01033438",2011,"Norwich 014A","Total",1303,265,95,171,28,156,510,78
"E01033439",2011,"Norwich 014B","Total",1316,176,170,180,29,202,481,78
"E01033440",2011,"Norwich 014C","Total",970,131,126,151,25,126,358,53
"E01033441",2011,"Norwich 014D","Total",1143,85,125,134,20,135,594,50
