"lsoa11cd","date","lsoa11nm","Rural Urban","Dwelling Type: All categories: Accommodation type; measures: Value","Dwelling Type: Unshared dwelling: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Total; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Semi-detached; measures: Value","Dwelling Type: Unshared dwelling: Whole house or bungalow: Terraced (including end-terrace); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Total; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Purpose-built block of flats or tenement; measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits); measures: Value","Dwelling Type: Unshared dwelling: Flat, maisonette or apartment: In commercial building; measures: Value","Dwelling Type: Unshared dwelling: Caravan or other mobile or temporary structure; measures: Value","Dwelling Type: Shared dwelling; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,1468,1201,275,490,436,267,262,5,0,0,7
"E01026792",2011,"Norwich 005B","Total",1445,1445,1350,297,712,341,95,92,3,0,0,0
"E01026793",2011,"Norwich 005C","Total",1817,1817,1716,194,840,682,101,94,6,1,0,0
"E01026794",2011,"Norwich 005D","Total",2021,2021,1859,663,913,283,162,157,3,2,0,0
"E01026796",2011,"Norwich 005F","Total",1636,1636,1452,144,881,427,184,176,7,1,0,0
"E01026797",2011,"Norwich 001A","Total",2400,2400,1876,523,757,596,524,499,13,12,0,0
"E01026798",2011,"Norwich 001B","Total",1533,1531,1168,79,454,635,360,345,6,9,3,2
"E01026799",2011,"Norwich 001C","Total",1459,1459,1228,79,501,648,231,230,0,1,0,0
"E01026800",2011,"Norwich 001D","Total",1991,1991,1290,175,584,531,698,629,60,9,3,0
"E01026801",2011,"Norwich 001E","Total",1560,1560,1439,307,1007,125,121,100,17,4,0,0
"E01026802",2011,"Norwich 001F","Total",1536,1536,877,88,354,435,598,549,33,16,61,0
"E01026803",2011,"Norwich 004A","Total",1388,1388,1025,41,342,642,363,347,11,5,0,0
"E01026804",2011,"Norwich 004B","Total",1429,1429,1318,289,656,373,111,100,3,8,0,0
"E01026805",2011,"Norwich 004C","Total",1421,1421,1176,56,474,646,245,234,2,9,0,0
"E01026806",2011,"Norwich 004D","Total",1127,1127,1095,265,595,235,32,16,2,14,0,0
"E01026807",2011,"Norwich 004E","Total",1252,1252,1230,113,434,683,22,18,3,1,0,0
"E01026808",2011,"Norwich 004F","Total",1320,1320,1116,61,355,700,204,193,10,1,0,0
"E01026809",2011,"Norwich 004G","Total",1483,1483,952,37,262,653,530,522,8,0,1,0
"E01026810",2011,"Norwich 012A","Total",1374,1374,1276,646,482,148,95,71,16,8,3,0
"E01026811",2011,"Norwich 012B","Total",1525,1525,1458,1161,188,109,67,54,13,0,0,0
"E01026812",2011,"Norwich 012C","Total",1425,1425,1378,945,232,201,47,28,11,8,0,0
"E01026813",2011,"Norwich 012D","Total",1426,1426,1410,1149,170,91,16,12,0,4,0,0
"E01026814",2011,"Norwich 012E","Total",1502,1502,1227,152,645,430,275,241,17,17,0,0
"E01026815",2011,"Norwich 012F","Total",1450,1450,1326,537,388,401,124,88,32,4,0,0
"E01026816",2011,"Norwich 013A","Total",1699,1692,1225,51,240,934,467,413,45,9,0,7
"E01026817",2011,"Norwich 013B","Total",1415,1415,1046,167,477,402,369,345,13,11,0,0
"E01026818",2011,"Norwich 013C","Total",1462,1462,1198,70,766,362,264,248,14,2,0,0
"E01026819",2011,"Norwich 013D","Total",1439,1439,989,49,477,463,450,441,4,5,0,0
"E01026820",2011,"Norwich 013E","Total",1727,1727,1378,65,736,577,349,305,35,9,0,0
"E01026821",2011,"Norwich 013F","Total",1542,1542,1173,13,701,459,369,334,27,8,0,0
"E01026822",2011,"Norwich 007A","Total",1958,1958,475,49,167,259,1482,1212,174,96,1,0
"E01026823",2011,"Norwich 007B","Total",1800,1798,755,60,110,585,1042,718,154,170,1,2
"E01026824",2011,"Norwich 007C","Total",1471,1464,510,42,92,376,954,882,36,36,0,7
"E01026825",2011,"Norwich 007D","Total",1276,1276,841,46,188,607,435,379,36,20,0,0
"E01026826",2011,"Norwich 007E","Total",1406,1406,624,31,93,500,782,653,57,72,0,0
"E01026827",2011,"Norwich 007F","Total",1501,1501,276,26,57,193,1225,1208,8,9,0,0
"E01026828",2011,"Norwich 002A","Total",1744,1744,1484,92,791,601,258,213,17,28,2,0
"E01026829",2011,"Norwich 002B","Total",2063,2063,1671,88,491,1092,392,342,45,5,0,0
"E01026830",2011,"Norwich 002C","Total",1252,1245,737,47,258,432,504,479,22,3,4,7
"E01026831",2011,"Norwich 002D","Total",1242,1233,1039,13,78,948,193,141,46,6,1,9
"E01026832",2011,"Norwich 002E","Total",1415,1415,1383,77,750,556,32,25,7,0,0,0
"E01026833",2011,"Norwich 002F","Total",1382,1382,803,40,358,405,576,549,11,16,3,0
"E01026834",2011,"Norwich 002G","Total",1503,1503,1330,56,742,532,173,148,22,3,0,0
"E01026835",2011,"Norwich 009A","Total",1453,1430,1245,78,141,1026,185,48,135,2,0,23
"E01026836",2011,"Norwich 009B","Total",1566,1561,1468,247,123,1098,93,50,42,1,0,5
"E01026837",2011,"Norwich 009C","Total",1448,1420,1046,124,257,665,374,246,118,10,0,28
"E01026838",2011,"Norwich 009D","Total",1551,1551,1473,167,261,1045,78,41,31,6,0,0
"E01026839",2011,"Norwich 009E","Total",1592,1588,1448,29,158,1261,140,25,83,32,0,4
"E01026840",2011,"Norwich 009F","Total",1604,1604,1535,31,44,1460,69,27,30,12,0,0
"E01026841",2011,"Norwich 003A","Total",1428,1428,1304,15,66,1223,124,81,28,15,0,0
"E01026842",2011,"Norwich 003B","Total",1628,1626,1276,87,297,892,350,301,37,12,0,2
"E01026843",2011,"Norwich 003C","Total",1871,1868,1456,82,584,790,412,359,34,19,0,3
"E01026844",2011,"Norwich 003D","Total",1741,1741,1265,52,583,630,476,453,7,16,0,0
"E01026845",2011,"Norwich 003E","Total",1561,1561,1397,19,89,1289,164,108,37,19,0,0
"E01026846",2011,"Norwich 003F","Total",1609,1606,1402,19,133,1250,204,126,59,19,0,3
"E01026848",2011,"Norwich 015A","Total",1823,1823,548,24,187,337,1275,1247,19,9,0,0
"E01026849",2011,"Norwich 015B","Total",1677,1661,986,490,169,327,675,608,65,2,0,16
"E01026850",2011,"Norwich 015C","Total",1827,1827,1317,131,193,993,510,460,38,12,0,0
