"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01026866",2011,"Norwich 006D","Total",1574,673,14,3,3,5,1,17,739,119
"E01026867",2011,"Norwich 006E","Total",1592,716,7,15,2,39,1,6,707,99
"E01026868",2011,"Norwich 006F","Total",1628,585,8,1,2,11,2,8,867,144
"E01026869",2011,"Norwich 006G","Total",1400,548,5,7,1,22,0,12,664,141
"E01033434",2011,"Norwich 011G","Total",1076,491,12,24,5,21,4,13,418,88
"E01033435",2011,"Norwich 005G","Total",1845,768,12,43,3,185,7,9,670,148
"E01033436",2011,"Norwich 005H","Total",1393,670,4,4,4,67,0,6,547,91
"E01033437",2011,"Norwich 011H","Total",1378,644,7,13,4,23,10,11,536,130
"E01033438",2011,"Norwich 014A","Total",1397,717,16,19,2,35,0,5,478,125
"E01033439",2011,"Norwich 014B","Total",1440,542,18,24,1,35,4,13,634,169
"E01033440",2011,"Norwich 014C","Total",1070,386,10,42,4,50,5,19,465,89
"E01033441",2011,"Norwich 014D","Total",1229,494,15,51,4,56,3,12,526,68
