"lsoa11cd","date","lsoa11nm","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"E01026865",2011,"Norwich 006C","Total",1949,961,988,1949,0,12,33.91,57.5
"E01026866",2011,"Norwich 006D","Total",1574,779,795,1574,0,18,50.03,31.5
"E01026867",2011,"Norwich 006E","Total",1592,776,816,1592,0,15,28,56.9
"E01026868",2011,"Norwich 006F","Total",1628,796,832,1623,5,3,26.67,61
"E01026869",2011,"Norwich 006G","Total",1400,700,700,1400,0,1,18.13,77.2
"E01033434",2011,"Norwich 011G","Total",1076,572,504,1076,0,13,11.53,93.3
"E01033435",2011,"Norwich 005G","Total",1845,889,956,1845,0,20,52,35.5
"E01033436",2011,"Norwich 005H","Total",1393,668,725,1383,10,13,73.69,18.9
"E01033437",2011,"Norwich 011H","Total",1378,663,715,1334,44,13,17.65,78.1
"E01033438",2011,"Norwich 014A","Total",1397,691,706,1350,47,14,50.41,27.7
"E01033439",2011,"Norwich 014B","Total",1440,759,681,1357,83,10,62.26,23.1
"E01033440",2011,"Norwich 014C","Total",1070,608,462,1070,0,10,16.18,66.1
"E01033441",2011,"Norwich 014D","Total",1229,680,549,1229,0,8,85.17,14.4
