"lsoa11cd","date","lsoa11nm","Rural Urban","Sex: All persons; measures: Value","Sex: Males; measures: Value","Sex: Females; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1475,741,734
"E01026792",2011,"Norwich 005B","Total",1445,695,750
"E01026793",2011,"Norwich 005C","Total",1817,861,956
"E01026794",2011,"Norwich 005D","Total",2065,1029,1036
"E01026796",2011,"Norwich 005F","Total",1643,789,854
"E01026797",2011,"Norwich 001A","Total",2402,1243,1159
"E01026798",2011,"Norwich 001B","Total",1533,781,752
"E01026799",2011,"Norwich 001C","Total",1459,728,731
"E01026800",2011,"Norwich 001D","Total",1991,1036,955
"E01026801",2011,"Norwich 001E","Total",1606,778,828
"E01026802",2011,"Norwich 001F","Total",1605,783,822
"E01026803",2011,"Norwich 004A","Total",1438,653,785
"E01026804",2011,"Norwich 004B","Total",1429,679,750
"E01026805",2011,"Norwich 004C","Total",1421,681,740
"E01026806",2011,"Norwich 004D","Total",1503,942,561
"E01026807",2011,"Norwich 004E","Total",1252,614,638
"E01026808",2011,"Norwich 004F","Total",1320,653,667
"E01026809",2011,"Norwich 004G","Total",1492,754,738
"E01026810",2011,"Norwich 012A","Total",1389,640,749
"E01026811",2011,"Norwich 012B","Total",1544,747,797
"E01026812",2011,"Norwich 012C","Total",1425,698,727
"E01026813",2011,"Norwich 012D","Total",1426,694,732
"E01026814",2011,"Norwich 012E","Total",1522,738,784
"E01026815",2011,"Norwich 012F","Total",1475,681,794
"E01026816",2011,"Norwich 013A","Total",1741,837,904
"E01026817",2011,"Norwich 013B","Total",1415,670,745
"E01026818",2011,"Norwich 013C","Total",1462,708,754
"E01026819",2011,"Norwich 013D","Total",1439,690,749
"E01026820",2011,"Norwich 013E","Total",1727,822,905
"E01026821",2011,"Norwich 013F","Total",1542,727,815
"E01026822",2011,"Norwich 007A","Total",2031,1037,994
"E01026823",2011,"Norwich 007B","Total",1906,1015,891
"E01026824",2011,"Norwich 007C","Total",1471,724,747
"E01026825",2011,"Norwich 007D","Total",1276,659,617
"E01026826",2011,"Norwich 007E","Total",1456,724,732
"E01026827",2011,"Norwich 007F","Total",1501,722,779
"E01026828",2011,"Norwich 002A","Total",1744,842,902
"E01026829",2011,"Norwich 002B","Total",2093,1031,1062
"E01026830",2011,"Norwich 002C","Total",1276,649,627
"E01026831",2011,"Norwich 002D","Total",1242,647,595
"E01026832",2011,"Norwich 002E","Total",1415,689,726
"E01026833",2011,"Norwich 002F","Total",1382,723,659
"E01026834",2011,"Norwich 002G","Total",1503,712,791
"E01026835",2011,"Norwich 009A","Total",1502,710,792
"E01026836",2011,"Norwich 009B","Total",1566,762,804
"E01026837",2011,"Norwich 009C","Total",1471,745,726
"E01026838",2011,"Norwich 009D","Total",1551,696,855
"E01026839",2011,"Norwich 009E","Total",1596,742,854
"E01026840",2011,"Norwich 009F","Total",1611,786,825
"E01026841",2011,"Norwich 003A","Total",1453,761,692
"E01026842",2011,"Norwich 003B","Total",1648,832,816
"E01026843",2011,"Norwich 003C","Total",1905,887,1018
"E01026844",2011,"Norwich 003D","Total",1741,878,863
"E01026845",2011,"Norwich 003E","Total",1561,775,786
"E01026846",2011,"Norwich 003F","Total",1626,818,808
"E01026848",2011,"Norwich 015A","Total",1856,877,979
"E01026849",2011,"Norwich 015B","Total",1738,924,814
"E01026850",2011,"Norwich 015C","Total",1827,929,898
"E01026852",2011,"Norwich 011A","Total",1295,598,697
"E01026853",2011,"Norwich 011B","Total",1751,926,825
"E01026855",2011,"Norwich 011D","Total",1568,796,772
"E01026856",2011,"Norwich 011E","Total",1821,852,969
"E01026857",2011,"Norwich 011F","Total",1515,710,805
"E01026858",2011,"Norwich 010A","Total",1512,709,803
"E01026859",2011,"Norwich 010B","Total",1659,776,883
"E01026860",2011,"Norwich 010C","Total",4313,1994,2319
"E01026861",2011,"Norwich 010D","Total",1493,699,794
"E01026862",2011,"Norwich 010E","Total",1302,614,688
"E01026863",2011,"Norwich 006A","Total",1814,895,919
"E01026864",2011,"Norwich 006B","Total",1547,768,779
"E01026865",2011,"Norwich 006C","Total",1949,961,988
"E01026866",2011,"Norwich 006D","Total",1574,779,795
"E01026867",2011,"Norwich 006E","Total",1592,776,816
"E01026868",2011,"Norwich 006F","Total",1628,796,832
"E01026869",2011,"Norwich 006G","Total",1400,700,700
"E01033434",2011,"Norwich 011G","Total",1076,572,504
"E01033435",2011,"Norwich 005G","Total",1845,889,956
"E01033436",2011,"Norwich 005H","Total",1393,668,725
"E01033437",2011,"Norwich 011H","Total",1378,663,715
"E01033438",2011,"Norwich 014A","Total",1397,691,706
"E01033439",2011,"Norwich 014B","Total",1440,759,681
"E01033440",2011,"Norwich 014C","Total",1070,608,462
"E01033441",2011,"Norwich 014D","Total",1229,680,549
