"lsoa11cd","date","lsoa11nm","Rural Urban","Tenure: All households; measures: Value","Tenure: Owned; measures: Value","Tenure: Owned: Owned outright; measures: Value","Tenure: Owned: Owned with a mortgage or loan; measures: Value","Tenure: Shared ownership (part owned and part rented); measures: Value","Tenure: Social rented; measures: Value","Tenure: Social rented: Rented from council (Local Authority); measures: Value","Tenure: Social rented: Other; measures: Value","Tenure: Private rented; measures: Value","Tenure: Private rented: Private landlord or letting agency; measures: Value","Tenure: Private rented: Other; measures: Value","Tenure: Living rent free; measures: Value"
"E01026859",2011,"Norwich 010B","Total",640,268,168,100,56,241,51,190,73,63,10,2
"E01026860",2011,"Norwich 010C","Total",470,221,157,64,2,152,137,15,90,69,21,5
"E01026861",2011,"Norwich 010D","Total",549,162,86,76,4,269,168,101,104,88,16,10
"E01026862",2011,"Norwich 010E","Total",497,235,115,120,3,191,112,79,61,55,6,7
"E01026863",2011,"Norwich 006A","Total",771,415,202,213,4,130,97,33,206,186,20,16
"E01026864",2011,"Norwich 006B","Total",657,391,170,221,3,168,107,61,85,73,12,10
"E01026865",2011,"Norwich 006C","Total",805,173,59,114,17,463,401,62,144,132,12,8
"E01026866",2011,"Norwich 006D","Total",767,390,177,213,9,159,127,32,199,174,25,10
"E01026867",2011,"Norwich 006E","Total",562,170,74,96,21,310,297,13,52,48,4,9
"E01026868",2011,"Norwich 006F","Total",565,134,61,73,13,331,257,74,84,77,7,3
"E01026869",2011,"Norwich 006G","Total",657,179,74,105,0,436,413,23,41,36,5,1
"E01033434",2011,"Norwich 011G","Total",615,271,99,172,20,75,71,4,243,222,21,6
"E01033435",2011,"Norwich 005G","Total",705,308,67,241,16,134,47,87,239,224,15,8
"E01033436",2011,"Norwich 005H","Total",596,193,92,101,0,319,229,90,79,75,4,5
"E01033437",2011,"Norwich 011H","Total",786,154,81,73,11,480,451,29,122,113,9,19
"E01033438",2011,"Norwich 014A","Total",878,312,225,87,4,227,31,196,314,277,37,21
"E01033439",2011,"Norwich 014B","Total",763,318,114,204,3,41,31,10,393,381,12,8
"E01033440",2011,"Norwich 014C","Total",662,139,53,86,14,280,138,142,221,215,6,8
"E01033441",2011,"Norwich 014D","Total",773,245,88,157,4,101,55,46,415,394,21,8
