"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition (alternative child and adult defintions); measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: One person aged 65 and over; measures: Value","Household Composition: One person household: One person aged under 65; measures: Value","Household Composition: Other households: Total; measures: Value","Household Composition: Other households: No adults or one adult and one or more children; measures: Value","Household Composition: Other households: One adult aged 16 to 64 and one aged 65 and over and no children or two adults aged 65 and over and no children; measures: Value","Household Composition: Other households: Two adults and one or two children; measures: Value","Household Composition: Other households: Two adults aged 16 to 64 and no children; measures: Value","Household Composition: Other households: Two adults and three or more children; measures: Value","Household Composition: Other households: Three or more adults and one or more children; measures: Value","Household Composition: Other households: Three or more adults and no children; measures: Value"
"E01026855",2011,"Norwich 011D","Total",1564,332,102,230,1232,49,118,227,334,51,55,398
"E01026856",2011,"Norwich 011E","Total",1821,306,59,247,1515,102,72,226,460,41,38,576
"E01026857",2011,"Norwich 011F","Total",1515,327,192,135,1188,48,190,207,246,46,100,351
"E01026858",2011,"Norwich 010A","Total",1508,323,161,162,1185,116,198,225,188,72,78,308
"E01026859",2011,"Norwich 010B","Total",1659,154,76,78,1505,189,132,385,194,147,120,338
"E01026860",2011,"Norwich 010C","Total",1098,152,85,67,946,26,174,123,136,73,64,350
"E01026861",2011,"Norwich 010D","Total",1493,105,59,46,1388,110,138,238,144,56,132,570
"E01026862",2011,"Norwich 010E","Total",1302,122,86,36,1180,58,136,202,138,80,167,399
"E01026863",2011,"Norwich 006A","Total",1814,215,80,135,1599,88,146,317,372,42,105,529
"E01026864",2011,"Norwich 006B","Total",1547,169,75,94,1378,160,160,304,296,63,147,248
"E01026865",2011,"Norwich 006C","Total",1949,236,79,157,1713,220,104,383,316,164,165,361
"E01026866",2011,"Norwich 006D","Total",1574,293,68,225,1281,107,146,198,362,66,69,333
"E01026867",2011,"Norwich 006E","Total",1592,136,51,85,1456,138,104,251,152,171,337,303
"E01026868",2011,"Norwich 006F","Total",1623,119,41,78,1504,195,70,289,188,185,218,359
"E01026869",2011,"Norwich 006G","Total",1400,264,63,201,1136,152,132,326,178,101,87,160
"E01033434",2011,"Norwich 011G","Total",1076,311,62,249,765,36,48,157,330,10,40,144
"E01033435",2011,"Norwich 005G","Total",1845,144,21,123,1701,129,50,507,396,118,143,358
"E01033436",2011,"Norwich 005H","Total",1383,187,89,98,1196,102,130,228,236,122,137,241
"E01033437",2011,"Norwich 011H","Total",1334,460,136,324,874,100,100,167,226,48,83,150
"E01033438",2011,"Norwich 014A","Total",1350,557,276,281,793,25,156,124,274,25,45,144
"E01033439",2011,"Norwich 014B","Total",1357,366,42,324,991,42,52,161,470,31,42,193
"E01033440",2011,"Norwich 014C","Total",1070,377,30,347,693,39,32,142,340,30,21,89
"E01033441",2011,"Norwich 014D","Total",1229,428,31,397,801,56,64,125,430,0,17,109
