"lsoa11cd","date","lsoa11nm","Rural Urban","Household Composition: All categories: Household composition; measures: Value","Household Composition: One person household: Total; measures: Value","Household Composition: One person household: Aged 65 and over; measures: Value","Household Composition: One person household: Other; measures: Value","Household Composition: One family only: Total; measures: Value","Household Composition: One family only: All aged 65 and over; measures: Value","Household Composition: One family only: Married couple: Total; measures: Value","Household Composition: One family only: Married couple: No children; measures: Value","Household Composition: One family only: Married couple: One dependent child; measures: Value","Household Composition: One family only: Married couple: Two or more dependent children; measures: Value","Household Composition: One family only: Married couple: All children non-dependent; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Total; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: No children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: One dependent child; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: Two or more dependent children; measures: Value","Household Composition: One family only: Same-sex civil partnership couple: All children non-dependent; measures: Value","Household Composition: One family only: Cohabiting couple: Total; measures: Value","Household Composition: One family only: Cohabiting couple: No children; measures: Value","Household Composition: One family only: Cohabiting couple: One dependent child; measures: Value","Household Composition: One family only: Cohabiting couple: Two or more dependent children; measures: Value","Household Composition: One family only: Cohabiting couple: All children non-dependent; measures: Value","Household Composition: One family only: Lone parent: Total; measures: Value","Household Composition: One family only: Lone parent: One dependent child; measures: Value","Household Composition: One family only: Lone parent: Two or more dependent children; measures: Value","Household Composition: One family only: Lone parent: All children non-dependent; measures: Value","Household Composition: Other household types: Total; measures: Value","Household Composition: Other household types: With one dependent child; measures: Value","Household Composition: Other household types: With two or more dependent children; measures: Value","Household Composition: Other household types: All full-time students; measures: Value","Household Composition: Other household types: All aged 65 and over; measures: Value","Household Composition: Other household types: Other; measures: Value"
"E01026802",2011,"Norwich 001F","Total",785,329,88,241,414,58,175,68,40,44,23,2,2,0,0,0,89,50,20,14,5,90,44,13,33,42,6,0,2,1,33
"E01026803",2011,"Norwich 004A","Total",638,212,113,99,395,84,129,42,22,33,32,0,0,0,0,0,77,35,14,23,5,105,27,33,45,31,6,3,2,2,18
"E01026804",2011,"Norwich 004B","Total",633,187,111,76,414,95,196,87,24,55,30,1,1,0,0,0,52,27,10,12,3,70,20,23,27,32,6,5,0,3,18
"E01026805",2011,"Norwich 004C","Total",639,207,120,87,412,86,160,57,29,38,36,2,2,0,0,0,62,24,14,22,2,102,42,26,34,20,3,6,2,0,9
"E01026806",2011,"Norwich 004D","Total",508,131,67,64,350,76,178,87,23,30,38,0,0,0,0,0,54,26,15,10,3,42,9,12,21,27,4,4,0,1,18
"E01026807",2011,"Norwich 004E","Total",523,152,69,83,320,22,150,59,16,51,24,2,2,0,0,0,91,50,13,21,7,55,26,16,13,51,5,8,1,0,37
"E01026808",2011,"Norwich 004F","Total",516,154,68,86,325,21,122,37,12,50,23,4,3,0,0,1,73,29,11,27,6,105,43,43,19,37,7,11,1,2,16
"E01026809",2011,"Norwich 004G","Total",762,335,120,215,398,79,140,58,22,29,31,0,0,0,0,0,86,35,27,21,3,93,39,21,33,29,5,3,0,3,18
"E01026810",2011,"Norwich 012A","Total",635,205,127,78,388,98,207,98,33,47,29,0,0,0,0,0,39,19,5,10,5,44,9,15,20,42,6,5,11,2,18
"E01026811",2011,"Norwich 012B","Total",723,243,170,73,451,130,251,104,44,62,41,2,2,0,0,0,38,20,8,9,1,30,4,6,20,29,5,4,2,0,18
"E01026812",2011,"Norwich 012C","Total",639,178,81,97,438,86,256,107,54,61,34,0,0,0,0,0,53,36,7,9,1,43,11,6,26,23,2,6,1,1,13
"E01026813",2011,"Norwich 012D","Total",635,172,125,47,439,142,232,96,36,61,39,2,2,0,0,0,37,15,5,10,7,26,5,6,15,24,4,4,3,1,12
"E01026814",2011,"Norwich 012E","Total",653,203,116,87,372,65,167,56,26,47,38,1,0,0,1,0,60,26,14,17,3,79,19,20,40,78,3,3,34,5,33
"E01026815",2011,"Norwich 012F","Total",648,206,92,114,385,64,223,83,47,70,23,0,0,0,0,0,60,41,6,10,3,38,17,14,7,57,2,2,21,5,27
"E01026816",2011,"Norwich 013A","Total",934,446,134,312,404,33,148,77,28,30,13,2,2,0,0,0,142,108,15,17,2,79,35,23,21,84,8,4,3,3,66
"E01026817",2011,"Norwich 013B","Total",706,297,180,117,373,54,166,85,23,36,22,1,1,0,0,0,77,39,14,21,3,75,29,20,26,36,6,3,0,1,26
"E01026818",2011,"Norwich 013C","Total",626,173,69,104,408,46,168,69,33,42,24,1,1,0,0,0,80,35,15,25,5,113,42,36,35,45,8,4,1,2,30
"E01026819",2011,"Norwich 013D","Total",625,214,54,160,367,19,143,53,18,43,29,2,2,0,0,0,86,34,27,17,8,117,45,44,28,44,6,8,2,0,28
"E01026820",2011,"Norwich 013E","Total",755,272,167,105,443,65,187,63,37,49,38,0,0,0,0,0,87,31,16,35,5,104,40,35,29,40,10,5,0,2,23
"E01026821",2011,"Norwich 013F","Total",712,254,134,120,409,76,172,71,26,41,34,0,0,0,0,0,74,28,17,25,4,87,32,27,28,49,7,7,0,4,31
"E01026822",2011,"Norwich 007A","Total",1228,694,219,475,408,54,131,88,23,12,8,3,3,0,0,0,149,127,18,3,1,71,42,11,18,126,4,3,21,3,95
"E01026823",2011,"Norwich 007B","Total",1099,597,116,481,375,40,126,84,18,10,14,3,3,0,0,0,144,122,14,7,1,62,28,10,24,127,2,3,17,2,103
"E01026824",2011,"Norwich 007C","Total",868,476,146,330,302,37,114,64,12,28,10,1,1,0,0,0,83,61,13,8,1,67,41,6,20,90,6,3,17,1,63
"E01026825",2011,"Norwich 007D","Total",718,359,78,281,280,19,98,53,15,16,14,0,0,0,0,0,111,82,13,15,1,52,31,6,15,79,7,4,16,3,49
"E01026826",2011,"Norwich 007E","Total",864,515,174,341,275,17,77,34,17,14,12,2,2,0,0,0,99,69,14,15,1,80,41,15,24,74,2,4,4,4,60
"E01026827",2011,"Norwich 007F","Total",931,547,225,322,327,47,90,51,14,19,6,0,0,0,0,0,99,65,19,13,2,91,57,16,18,57,6,2,5,5,39
"E01026828",2011,"Norwich 002A","Total",664,162,59,103,451,39,199,63,37,62,37,0,0,0,0,0,94,24,20,43,7,119,44,48,27,51,5,5,2,1,38
"E01026829",2011,"Norwich 002B","Total",857,266,63,203,473,31,179,67,40,50,22,2,2,0,0,0,145,70,25,45,5,116,44,47,25,118,10,13,6,1,88
"E01026830",2011,"Norwich 002C","Total",682,312,112,200,323,59,108,53,24,14,17,2,2,0,0,0,78,50,16,10,2,76,39,23,14,47,1,6,5,2,33
"E01026831",2011,"Norwich 002D","Total",632,257,33,224,285,15,106,47,18,29,12,1,1,0,0,0,115,87,16,11,1,48,20,9,19,90,6,1,16,1,66
"E01026832",2011,"Norwich 002E","Total",498,99,51,48,361,37,160,48,28,53,31,1,0,0,0,1,62,13,17,31,1,101,25,42,34,38,8,8,3,0,19
"E01026833",2011,"Norwich 002F","Total",696,321,95,226,340,30,118,46,26,29,17,1,1,0,0,0,93,42,24,25,2,98,45,34,19,35,9,5,1,4,16
"E01026834",2011,"Norwich 002G","Total",644,206,98,108,394,32,174,68,33,38,35,0,0,0,0,0,91,35,21,31,4,97,39,40,18,44,8,6,2,0,28
"E01026835",2011,"Norwich 009A","Total",643,236,51,185,271,21,116,52,22,28,14,1,0,0,1,0,80,57,10,11,2,53,33,15,5,136,3,6,67,0,60
"E01026836",2011,"Norwich 009B","Total",646,181,40,141,351,30,181,64,32,58,27,1,0,1,0,0,86,52,12,16,6,53,27,16,10,114,4,5,51,0,54
"E01026837",2011,"Norwich 009C","Total",735,338,89,249,317,26,167,70,34,48,15,2,2,0,0,0,86,67,8,8,3,36,18,4,14,80,2,5,23,2,48
"E01026838",2011,"Norwich 009D","Total",645,171,53,118,370,40,201,76,40,71,14,1,0,0,1,0,83,50,15,17,1,45,17,12,16,104,0,2,61,1,40
"E01026839",2011,"Norwich 009E","Total",668,204,31,173,286,15,122,45,32,33,12,1,1,0,0,0,106,78,11,15,2,42,24,7,11,178,1,2,106,0,69
"E01026840",2011,"Norwich 009F","Total",759,233,42,191,382,21,143,77,25,28,13,2,2,0,0,0,150,116,22,12,0,66,39,11,16,144,6,0,51,1,86
"E01026841",2011,"Norwich 003A","Total",726,272,39,233,361,19,151,72,35,28,16,2,2,0,0,0,131,97,20,13,1,58,31,9,18,93,10,3,8,1,71
"E01026842",2011,"Norwich 003B","Total",818,324,61,263,419,30,196,85,33,51,27,6,5,1,0,0,148,111,17,17,3,39,17,8,14,75,7,1,6,1,60
"E01026843",2011,"Norwich 003C","Total",902,338,113,225,496,43,216,110,38,47,21,0,0,0,0,0,124,74,20,26,4,113,40,36,37,68,10,3,4,4,47
"E01026844",2011,"Norwich 003D","Total",823,314,65,249,461,37,185,90,22,41,32,2,2,0,0,0,119,70,20,28,1,118,49,43,26,48,5,12,3,1,27
"E01026845",2011,"Norwich 003E","Total",786,286,36,250,405,20,157,78,36,34,9,2,2,0,0,0,160,119,28,12,1,66,37,12,17,95,5,4,7,0,79
"E01026846",2011,"Norwich 003F","Total",811,320,64,256,378,21,129,58,31,26,14,2,1,0,0,1,156,115,23,15,3,70,29,22,19,113,9,6,8,0,90
"E01026848",2011,"Norwich 015A","Total",1015,512,182,330,426,36,134,61,29,23,21,3,3,0,0,0,114,53,36,18,7,139,83,29,27,77,11,3,1,5,57
"E01026849",2011,"Norwich 015B","Total",913,409,66,343,448,42,202,108,45,32,17,4,4,0,0,0,162,132,17,10,3,38,15,8,15,56,2,5,4,0,45
"E01026850",2011,"Norwich 015C","Total",952,390,80,310,467,37,185,99,35,38,13,5,5,0,0,0,167,117,33,13,4,73,35,16,22,95,8,6,4,1,76
"E01026852",2011,"Norwich 011A","Total",598,228,100,128,340,43,221,102,36,60,23,2,2,0,0,0,42,24,7,7,4,32,6,8,18,30,1,3,4,1,21
"E01026853",2011,"Norwich 011B","Total",1011,534,208,326,393,45,154,81,25,31,17,4,2,1,1,0,109,84,16,7,2,81,41,17,23,84,2,5,6,4,67
"E01026855",2011,"Norwich 011D","Total",773,332,102,230,330,34,169,72,35,37,25,1,1,0,0,0,82,64,9,6,3,44,11,16,17,111,2,1,34,1,73
"E01026856",2011,"Norwich 011E","Total",847,306,59,247,342,17,126,65,23,25,13,2,1,0,1,0,131,95,26,8,2,66,32,14,20,199,4,1,98,0,96
"E01026857",2011,"Norwich 011F","Total",751,327,192,135,325,64,153,68,26,42,17,1,1,0,0,0,69,48,12,6,3,38,20,10,8,99,4,5,43,6,41
"E01026858",2011,"Norwich 010A","Total",745,323,161,162,341,66,122,47,20,32,23,0,0,0,0,0,57,23,21,12,1,96,40,24,32,81,5,1,48,5,22
"E01026859",2011,"Norwich 010B","Total",640,154,76,78,411,46,181,54,26,76,25,0,0,0,0,0,75,26,15,32,2,109,51,37,21,75,0,7,37,4,27
"E01026860",2011,"Norwich 010C","Total",470,152,85,67,247,60,119,49,22,24,24,0,0,0,0,0,33,18,6,8,1,35,13,6,16,71,2,4,44,2,19
"E01026861",2011,"Norwich 010D","Total",549,105,59,46,335,44,147,43,32,28,44,0,0,0,0,0,54,8,22,21,3,90,40,25,25,109,5,6,62,0,36
"E01026862",2011,"Norwich 010E","Total",497,122,86,36,294,46,155,41,40,42,32,0,0,0,0,0,32,9,5,15,3,61,21,18,22,81,3,11,34,0,33
"E01026863",2011,"Norwich 006A","Total",771,215,80,135,414,43,210,99,29,52,30,1,1,0,0,0,94,64,16,12,2,66,33,13,20,142,7,5,61,0,69
"E01026864",2011,"Norwich 006B","Total",657,169,75,94,440,55,223,112,33,53,25,0,0,0,0,0,75,33,15,20,7,87,39,30,18,48,8,5,3,2,30
"E01026865",2011,"Norwich 006C","Total",805,236,79,157,473,35,181,60,44,50,27,1,0,0,1,0,132,61,21,47,3,124,59,39,26,96,14,10,32,2,38
"E01026866",2011,"Norwich 006D","Total",767,293,68,225,347,45,159,71,32,36,20,0,0,0,0,0,79,61,9,6,3,64,30,17,17,127,8,4,34,4,77
"E01026867",2011,"Norwich 006E","Total",562,136,51,85,344,31,141,45,19,49,28,1,1,0,0,0,84,18,23,38,5,87,26,42,19,82,11,16,12,3,40
"E01026868",2011,"Norwich 006F","Total",565,119,41,78,354,14,152,48,24,53,27,3,3,0,0,0,78,18,16,37,7,107,37,44,26,92,14,14,31,1,32
"E01026869",2011,"Norwich 006G","Total",657,264,63,201,359,37,155,61,28,48,18,2,1,0,1,0,64,15,13,30,6,101,49,30,22,34,6,4,4,2,18
"E01033434",2011,"Norwich 011G","Total",615,311,62,249,234,13,88,43,23,16,6,0,0,0,0,0,97,85,7,3,2,36,18,5,13,70,4,2,15,0,49
"E01033435",2011,"Norwich 005G","Total",705,144,21,123,442,16,233,69,58,86,20,1,1,0,0,0,116,77,20,18,1,76,35,22,19,119,5,12,58,1,43
"E01033436",2011,"Norwich 005H","Total",596,187,89,98,355,40,164,71,28,40,25,0,0,0,0,0,65,31,14,16,4,86,39,21,26,54,8,5,23,1,17
"E01033437",2011,"Norwich 011H","Total",786,460,136,324,265,29,97,43,23,22,9,0,0,0,0,0,57,36,13,5,3,82,44,15,23,61,8,6,13,1,33
"E01033438",2011,"Norwich 014A","Total",878,557,276,281,254,59,86,41,14,26,5,4,4,0,0,0,80,70,5,4,1,25,14,2,9,67,2,1,7,3,54
"E01033439",2011,"Norwich 014B","Total",763,366,42,324,319,10,121,76,22,13,10,0,0,0,0,0,152,125,12,12,3,36,16,6,14,78,3,3,3,1,68
"E01033440",2011,"Norwich 014C","Total",662,377,30,347,215,8,85,46,24,12,3,4,4,0,0,0,86,69,9,7,1,32,20,2,10,70,4,1,11,0,54
"E01033441",2011,"Norwich 014D","Total",773,428,31,397,262,17,83,53,20,6,4,4,4,0,0,0,127,115,8,4,0,31,9,15,7,83,4,0,10,1,68
