"lsoa11cd","date","lsoa11nm","Rural Urban","NS-SeC: All categories: NS-SeC of household reference person; measures: Value","NS-SeC: 1. Higher managerial, administrative and professional occupations; measures: Value","NS-SeC: 1.1 Large employers and higher managerial and administrative occupations; measures: Value","NS-SeC: L1 Employers in large establishments; measures: Value","NS-SeC: L2 Higher managerial and administrative occupations; measures: Value","NS-SeC: 1.2 Higher professional occupations; measures: Value","NS-SeC: L3.1 Traditional employees; measures: Value","NS-SeC: L3.2 New employees; measures: Value","NS-SeC: L3.3 Traditional self-employed; measures: Value","NS-SeC: L3.4 New self-employed; measures: Value","NS-SeC: 2. Lower managerial, administrative and professional occupations; measures: Value","NS-SeC: L4 Lower professional and higher technical occupations; measures: Value","NS-SeC: L4.1 Traditional employees; measures: Value","NS-SeC: L4.2 New employees; measures: Value","NS-SeC: L4.3 Traditional self-employed; measures: Value","NS-SeC: L4.4 New self-employed; measures: Value","NS-SeC: L5 Lower managerial and administrative occupations; measures: Value","NS-SeC: L6 Higher supervisory occupations; measures: Value","NS-SeC: 3. Intermediate occupations; measures: Value","NS-SeC: L7.1 Intermediate clerical and administrative occupations; measures: Value","NS-SeC: L7.2 Intermediate sales and service occupations; measures: Value","NS-SeC: L7.3 Intermediate technical and auxiliary occupations; measures: Value","NS-SeC: L7.4 Intermediate engineering occupations; measures: Value","NS-SeC: 4. Small employers and own account workers; measures: Value","NS-SeC: L8 Employers in small establishments; measures: Value","NS-SeC: L8.1 Employers in small establishments in industry, commerce, services etc.; measures: Value","NS-SeC: L8.2 Employers in small establishments in agriculture; measures: Value","NS-SeC: L9 Own account workers; measures: Value","NS-SeC: L9.1 Own account workers (non-professional); measures: Value","NS-SeC: L9.2 Own account workers (agriculture); measures: Value","NS-SeC: 5. Lower supervisory and technical occupations; measures: Value","NS-SeC: L10 Lower supervisory occupations; measures: Value","NS-SeC: L11 Lower technical occupations; measures: Value","NS-SeC: L11.1 Lower technical craft occupations; measures: Value","NS-SeC: L11.2 Lower technical process operative occupations; measures: Value","NS-SeC: 6. Semi-routine occupations; measures: Value","NS-SeC: L12.1 Semi-routine sales occupations; measures: Value","NS-SeC: L12.2 Semi-routine service occupations; measures: Value","NS-SeC: L12.3 Semi-routine technical occupations; measures: Value","NS-SeC: L12.4 Semi-routine operative occupations; measures: Value","NS-SeC: L12.5 Semi-routine agricultural occupations; measures: Value","NS-SeC: L12.6 Semi-routine clerical occupations; measures: Value","NS-SeC: L12.7 Semi-routine childcare occupations; measures: Value","NS-SeC: 7. Routine occupations; measures: Value","NS-SeC: L13.1 Routine sales and service occupations; measures: Value","NS-SeC: L13.2 Routine production occupations; measures: Value","NS-SeC: L13.3 Routine technical occupations; measures: Value","NS-SeC: L13.4 Routine operative occupations; measures: Value","NS-SeC: L13.5 Routine agricultural occupations; measures: Value","NS-SeC: 8. Never worked and long-term unemployed; measures: Value","NS-SeC: L14.1 Never worked; measures: Value","NS-SeC: L14.2 Long-term unemployed; measures: Value","NS-SeC: Not classified; measures: Value","NS-SeC: L15 Full-time students; measures: Value","NS-SeC: L17 Not classifiable for other reasons; measures: Value"
"E01026791",2011,"Norwich 005A","Total",1339,80,16,0,16,64,39,23,1,1,188,116,98,15,3,0,42,30,105,62,21,15,7,102,3,3,0,99,99,0,102,54,48,48,0,285,86,104,11,62,0,16,6,253,25,47,49,132,0,102,63,39,122,119,3
"E01026792",2011,"Norwich 005B","Total",1212,97,24,0,24,73,50,13,9,1,222,148,139,2,7,0,51,23,115,55,39,16,5,114,15,15,0,99,99,0,144,64,80,73,7,186,53,67,19,40,1,3,3,227,31,23,82,88,3,56,27,29,51,51,0
"E01026793",2011,"Norwich 005C","Total",1627,81,7,0,7,74,41,26,2,5,196,107,87,13,5,2,54,35,137,37,53,32,15,163,30,30,0,133,133,0,151,85,66,66,0,249,52,103,19,64,0,3,8,429,35,57,135,202,0,124,66,58,97,97,0
"E01026794",2011,"Norwich 005D","Total",1825,201,23,0,23,178,120,54,0,4,397,254,177,46,19,12,82,61,204,94,59,40,11,142,19,19,0,123,117,6,193,109,84,62,22,286,67,120,23,50,3,15,8,221,19,29,86,86,1,92,51,41,89,89,0
"E01026796",2011,"Norwich 005F","Total",1392,48,11,0,11,37,29,3,2,3,197,153,110,20,18,5,26,18,68,25,17,22,4,111,21,21,0,90,90,0,98,53,45,42,3,219,49,99,15,39,3,8,6,269,18,26,98,127,0,84,46,38,298,298,0
"E01026797",2011,"Norwich 001A","Total",2208,223,53,0,53,170,80,79,3,8,497,297,255,27,11,4,145,55,229,98,51,29,51,238,74,74,0,164,164,0,271,141,130,111,19,364,82,141,29,81,0,24,7,286,23,38,113,112,0,75,19,56,25,25,0
"E01026798",2011,"Norwich 001B","Total",1354,46,11,0,11,35,20,15,0,0,192,81,68,12,1,0,66,45,97,41,31,10,15,180,49,49,0,131,127,4,154,77,77,66,11,256,66,108,17,49,0,16,0,326,45,48,104,125,4,86,34,52,17,17,0
"E01026799",2011,"Norwich 001C","Total",1305,71,14,0,14,57,25,31,1,0,195,128,97,22,4,5,16,51,165,81,47,23,14,104,27,27,0,77,77,0,138,75,63,57,6,268,67,95,37,59,0,10,0,301,25,27,128,120,1,61,20,41,2,2,0
"E01026800",2011,"Norwich 001D","Total",1801,129,18,0,18,111,53,40,13,5,260,135,109,22,4,0,81,44,154,59,65,20,10,199,62,60,2,137,137,0,165,119,46,40,6,350,107,142,26,52,5,11,7,369,32,45,89,203,0,128,55,73,47,47,0
"E01026801",2011,"Norwich 001E","Total",1203,178,47,0,47,131,76,41,14,0,303,165,137,19,4,5,98,40,169,85,40,37,7,133,33,29,4,100,100,0,106,46,60,52,8,137,16,44,16,48,0,10,3,146,6,7,80,53,0,26,10,16,5,5,0
"E01026802",2011,"Norwich 001F","Total",1285,100,22,0,22,78,52,16,9,1,291,192,139,19,28,6,70,29,140,87,34,8,11,119,20,19,1,99,99,0,125,68,57,54,3,230,81,101,18,19,0,11,0,203,20,20,73,87,3,54,20,34,23,23,0
"E01026803",2011,"Norwich 004A","Total",1030,58,9,0,9,49,26,20,3,0,117,57,44,4,9,0,26,34,105,58,37,9,1,91,8,8,0,83,83,0,100,57,43,39,4,232,75,71,17,53,2,14,0,246,30,31,107,78,0,65,36,29,16,16,0
"E01026804",2011,"Norwich 004B","Total",1066,70,5,0,5,65,37,14,11,3,215,126,91,29,6,0,51,38,120,61,48,7,4,122,19,19,0,103,100,3,143,59,84,74,10,180,66,71,12,25,2,2,2,162,8,17,73,62,2,39,13,26,15,15,0
"E01026805",2011,"Norwich 004C","Total",1064,46,21,0,21,25,20,0,2,3,113,58,40,5,11,2,30,25,87,47,23,15,2,153,31,31,0,122,116,6,134,78,56,48,8,245,61,89,32,54,0,5,4,235,22,16,118,79,0,39,20,19,12,12,0
"E01026806",2011,"Norwich 004D","Total",847,54,11,0,11,43,23,16,2,2,203,139,114,11,12,2,34,30,130,56,41,17,16,116,12,10,2,104,104,0,75,25,50,40,10,150,31,59,8,34,0,12,6,111,6,7,65,33,0,8,4,4,0,0,0
"E01026807",2011,"Norwich 004E","Total",1096,124,33,0,33,91,47,36,8,0,248,173,131,22,20,0,52,23,117,61,33,11,12,97,9,9,0,88,88,0,111,58,53,52,1,184,35,82,18,37,0,6,6,163,16,7,70,67,3,45,32,13,7,7,0
"E01026808",2011,"Norwich 004F","Total",1175,46,6,0,6,40,22,11,7,0,165,108,90,9,6,3,48,9,109,47,49,11,2,102,27,27,0,75,75,0,135,86,49,39,10,254,85,100,30,27,1,7,4,214,32,10,56,114,2,141,78,63,9,9,0
"E01026809",2011,"Norwich 004G","Total",1128,46,14,0,14,32,9,19,0,4,143,78,62,12,2,2,54,11,125,56,47,10,12,113,11,11,0,102,102,0,131,68,63,60,3,262,81,86,30,53,1,6,5,238,8,24,66,139,1,61,24,37,9,9,0
"E01026810",2011,"Norwich 012A","Total",970,296,55,0,55,241,165,49,23,4,256,169,136,16,17,0,54,33,78,40,23,11,4,96,39,39,0,57,56,1,37,12,25,25,0,67,27,16,6,7,5,6,0,64,8,2,23,31,0,20,8,12,56,53,3
"E01026811",2011,"Norwich 012B","Total",1031,374,57,0,57,317,192,46,73,6,386,254,186,29,37,2,95,37,74,44,12,11,7,103,37,37,0,66,66,0,28,14,14,13,1,30,5,14,6,2,0,2,1,20,0,3,15,2,0,4,0,4,12,12,0
"E01026812",2011,"Norwich 012C","Total",1110,288,35,0,35,253,158,69,12,14,368,235,173,22,37,3,84,49,117,74,26,14,3,125,44,43,1,81,81,0,58,22,36,31,5,78,20,34,5,6,0,11,2,50,2,4,30,14,0,13,2,11,13,13,0
"E01026813",2011,"Norwich 012D","Total",959,306,51,7,44,255,163,44,35,13,282,175,136,16,21,2,63,44,88,46,26,9,7,90,29,29,0,61,61,0,42,26,16,16,0,97,12,32,6,15,3,15,14,32,4,0,21,7,0,10,7,3,12,12,0
"E01026814",2011,"Norwich 012E","Total",1176,169,36,0,36,133,88,36,9,0,162,112,82,11,19,0,35,15,124,56,51,13,4,123,19,19,0,104,104,0,91,55,36,31,5,183,30,70,21,35,0,22,5,151,17,16,70,48,0,36,17,19,137,137,0
"E01026815",2011,"Norwich 012F","Total",1179,372,51,2,49,321,199,42,78,2,385,302,225,16,58,3,68,15,74,43,19,12,0,109,28,26,2,81,80,1,52,30,22,22,0,46,13,19,2,2,1,9,0,27,1,0,14,12,0,7,5,2,107,107,0
"E01026816",2011,"Norwich 013A","Total",1458,216,25,0,25,191,83,81,13,14,425,299,247,31,16,5,87,39,166,88,51,25,2,151,50,50,0,101,99,2,74,41,33,25,8,200,67,80,11,19,4,13,6,121,1,5,53,62,0,59,32,27,46,46,0
"E01026817",2011,"Norwich 013B","Total",1072,130,37,4,33,93,54,18,21,0,168,107,82,11,12,2,36,25,110,63,30,3,14,113,17,17,0,96,96,0,111,83,28,27,1,206,49,76,7,48,0,19,7,146,5,24,44,71,2,75,43,32,13,13,0
"E01026818",2011,"Norwich 013C","Total",1257,77,14,0,14,63,36,21,3,3,200,126,97,14,15,0,55,19,112,62,24,20,6,154,38,38,0,116,114,2,158,91,67,66,1,216,53,93,18,38,6,8,0,259,32,23,114,90,0,69,41,28,12,12,0
"E01026819",2011,"Norwich 013D","Total",1290,76,30,0,30,46,15,27,1,3,217,117,91,14,12,0,67,33,117,67,35,11,4,106,13,13,0,93,93,0,129,75,54,51,3,259,58,131,14,36,3,6,11,288,20,22,99,143,4,84,58,26,14,14,0
"E01026820",2011,"Norwich 013E","Total",1376,67,13,0,13,54,26,18,7,3,233,126,96,16,14,0,73,34,115,60,32,17,6,140,20,20,0,120,120,0,155,71,84,78,6,293,98,97,17,60,2,11,8,254,30,16,105,101,2,103,62,41,16,16,0
