"lsoa11cd","date","lsoa11nm","Rural Urban","Family Type: All families in households; measures: Value","Family Type: No dependent children in family; measures: Value","Family Type: One dependent child in family aged 0 to 4; measures: Value","Family Type: One dependent child in family aged 5 to 11; measures: Value","Family Type: One dependent child in family aged 12 to 18; measures: Value","Family Type: Two dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Two dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Two dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Three or more dependent children in family; youngest aged 0 to 4; measures: Value","Family Type: Three or more dependent children in family; youngest aged 5 to 11; measures: Value","Family Type: Three or more dependent children in family; youngest aged 12 to 18; measures: Value","Family Type: Total dependent children; measures: Value"
"E01026858",2011,"Norwich 010A","Total",364,210,33,21,31,20,13,13,13,6,4,260
"E01026859",2011,"Norwich 010B","Total",430,187,40,24,31,53,33,16,22,22,2,463
"E01026860",2011,"Norwich 010C","Total",267,180,17,7,24,8,10,6,9,5,1,151
"E01026861",2011,"Norwich 010D","Total",365,188,30,22,47,24,15,15,10,13,1,289
"E01026862",2011,"Norwich 010E","Total",325,168,16,15,41,23,25,12,8,14,3,282
"E01026863",2011,"Norwich 006A","Total",443,278,44,19,22,35,17,14,5,9,0,265
"E01026864",2011,"Norwich 006B","Total",472,270,47,20,29,32,33,10,18,13,0,356
"E01026865",2011,"Norwich 006C","Total",512,229,57,28,56,44,32,16,31,17,2,510
"E01026866",2011,"Norwich 006D","Total",370,231,31,18,28,18,13,8,13,10,0,233
"E01026867",2011,"Norwich 006E","Total",391,168,26,24,30,30,25,17,40,27,4,490
"E01026868",2011,"Norwich 006F","Total",394,158,36,19,41,37,27,11,43,18,4,485
"E01026869",2011,"Norwich 006G","Total",376,167,45,19,36,38,28,10,23,8,2,366
"E01033434",2011,"Norwich 011G","Total",249,171,31,9,12,12,4,4,3,3,0,111
"E01033435",2011,"Norwich 005G","Total",470,216,53,38,27,70,25,8,22,10,1,450
"E01033436",2011,"Norwich 005H","Total",382,211,43,18,29,24,14,6,24,10,3,309
"E01033437",2011,"Norwich 011H","Total",289,156,35,18,34,9,14,8,6,9,0,206
"E01033438",2011,"Norwich 014A","Total",261,195,16,5,12,13,4,8,3,4,1,110
"E01033439",2011,"Norwich 014B","Total",345,259,29,8,15,13,8,4,5,4,0,134
"E01033440",2011,"Norwich 014C","Total",226,149,26,16,14,9,4,2,3,3,0,108
"E01033441",2011,"Norwich 014D","Total",272,207,23,10,7,7,13,5,0,0,0,91
